"Supplementary Table S15. List of cell type-specific unmethylated markers (top 25), covered by Illumina TruSeq EPIC hybrid capture panel (hg19).",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,chr,start,end,startCpG,endCpG,position,Number of CpGs,Length,Target meth. ,Background meth.,Diff,Genomic class,Gene,,p-value,,,,,,,,,,,
Adipocytes,chr6,52409364,52409474,9623093,9623100,chr6:52409364-52409474,7CpGs,110bp,0.36,0.88,0.52,intron,TRAM2,,,,,,,,,,,,,
Adipocytes,chr18,60904483,60904663,23843173,23843180,chr18:60904483-60904663,7CpGs,180bp,0.383,0.891,0.508,intron,BCL2,,,,,,,,,,,,,
Adipocytes,chr7,3198119,3198426,10619318,10619328,chr7:3198119-3198426,10CpGs,307bp,0.356,0.849,0.493,Intergenic,CARD11,,,,,,,,,,,,,
Bladder-Ep,chr6,34778179,34778644,9451046,9451053,chr6:34778179-34778644,7CpGs,465bp,0.164,0.937,0.773,intron,UHRF1BP1,,,,,,,,,,,,,
Bladder-Ep,chr4,2961192,2961472,6140392,6140401,chr4:2961192-2961472,9CpGs,280bp,0.153,0.941,0.788,intron,NOP14,,,,,,,,,,,,,
Bladder-Ep,chr7,116048933,116049199,11653590,11653606,chr7:116048933-116049199,16CpGs,266bp,0.145,0.924,0.779,Intergenic,CAV2,,,,,,,,,,,,,
Bladder-Ep,chr7,97408637,97408741,11465464,11465469,chr7:97408637-97408741,5CpGs,104bp,0.108,0.946,0.838,Intergenic,TAC1,,,,,,,,,,,,,
Bladder-Ep,chr1,184970698,184970984,1692429,1692449,chr1:184970698-184970984,20CpGs,286bp,0.114,0.926,0.812,Intergenic,FAM129A,,,,,,,,,,,,,
Bladder-Ep,chr15,77448649,77448988,20809856,20809873,chr15:77448649-77448988,17CpGs,339bp,0.135,0.92,0.784,intron,PEAK1,,,,,,,,,,,,,
Bladder-Ep,chr6,34966596,34967579,9453054,9453073,chr6:34966596-34967579,19CpGs,983bp,0.141,0.945,0.804,intron,ANKS1A,,,,,,,,,,,,,
Bladder-Ep,chr17,39658076,39658664,22724996,22725005,chr17:39658076-39658664,9CpGs,588bp,0.172,0.891,0.719,intron,KRT13,,,,,,,,,,,,,
Bladder-Ep,chr16,12236884,12237154,21323689,21323700,chr16:12236884-12237154,11CpGs,270bp,0.303,0.942,0.639,intron,SNX29,,,,,,,,,,,,,
Bladder-Ep,chr10,111585736,111585936,15677880,15677894,chr10:111585736-111585936,14CpGs,200bp,0.134,0.926,0.792,Intergenic,XPNPEP1,,,,,,,,,,,,,
Bladder-Ep,chr14,102493027,102493778,20117580,20117594,chr14:102493027-102493778,14CpGs,751bp,0.123,0.887,0.764,intron,DYNC1H1,,,,,,,,,,,,,
Bladder-Ep,chr19,56725662,56726052,25037803,25037809,chr19:56725662-56726052,6CpGs,390bp,0.231,0.898,0.668,Intergenic,ZSCAN5A,,,,,,,,,,,,,
Bladder-Ep,chr1,246784177,246785208,2259018,2259029,chr1:246784177-246785208,11CpGs,1031bp,0.307,0.943,0.635,exon;intron,CNST,,,,,,,,,,,,,
Bladder-Ep,chr14,104047749,104048041,20149099,20149108,chr14:104047749-104048041,9CpGs,292bp,0.231,0.924,0.693,intron,APOPT1,,,,,,,,,,,,,
Bladder-Ep,chr15,101938761,101938873,21080256,21080268,chr15:101938761-101938873,12CpGs,112bp,0.178,0.947,0.768,exon;intron,PCSK6,,,,,,,,,,,,,
Bladder-Ep,chr9,85843600,85843716,13946524,13946534,chr9:85843600-85843716,10CpGs,116bp,0.14,0.895,0.754,Intergenic,RASEF,,,,,,,,,,,,,
Bladder-Ep,chr19,53463258,53463449,24969037,24969043,chr19:53463258-53463449,6CpGs,191bp,0.184,0.952,0.768,intron,ZNF816,,,,,,,,,,,,,
Bladder-Ep,chr14,24105184,24106091,19411073,19411093,chr14:24105184-24106091,20CpGs,907bp,0.216,0.929,0.713,promoter-TSS,DHRS2,,,,,,,,,,,,,
Bladder-Ep,chr10,74560771,74562033,15331064,15331076,chr10:74560771-74562033,12CpGs,1262bp,0.28,0.918,0.638,intron,MCU,,,,,,,,,,,,,
Bladder-Ep,chr2,11108531,11108714,2425157,2425164,chr2:11108531-11108714,7CpGs,183bp,0.177,0.855,0.679,Intergenic,KCNF1,,,,,,,,,,,,,
Bladder-Ep,chr10,28956172,28956309,14954852,14954857,chr10:28956172-28956309,5CpGs,137bp,0.148,0.868,0.72,Intergenic,BAMBI,,,,,,,,,,,,,
Bladder-Ep,chr15,81262936,81263036,20854459,20854464,chr15:81262936-81263036,5CpGs,100bp,0.0834,0.921,0.838,Intergenic,MESDC2,,,,,,,,,,,,,
Bladder-Ep,chr17,49162103,49162708,22880247,22880254,chr17:49162103-49162708,7CpGs,605bp,0.174,0.894,0.72,intron,SPAG9,,,,,,,,,,,,,
Bladder-Ep,chr21,43107863,43108409,26062054,26062064,chr21:43107863-43108409,10CpGs,546bp,0.208,0.925,0.717,intron,LINC00111,,,,,,,,,,,,,
Bladder-Ep,chr2,101802746,101803172,3217979,3217988,chr2:101802746-101803172,9CpGs,426bp,0.257,0.889,0.631,Intergenic,TBC1D8,,,,,,,,,,,,,
Blood-B,chr16,87734836,87735383,22112708,22112732,chr16:87734836-87735383,24CpGs,547bp,0.058,0.933,0.874,Intergenic,KLHDC4,,,,,,,,,,,,,
Blood-B,chr17,74419888,74420091,23172974,23172982,chr17:74419888-74420091,8CpGs,203bp,0.0242,0.96,0.936,intron,UBE2O,,,,,,,,,,,,,
Blood-B,chr16,71762004,71762093,21896214,21896219,chr16:71762004-71762093,5CpGs,89bp,0.061,0.947,0.886,TTS,AP1G1,,,,,,,,,,,,,
Blood-B,chr6,64375368,64375610,9681557,9681562,chr6:64375368-64375610,5CpGs,242bp,0.114,0.937,0.823,intron,PHF3,,,,,,,,,,,,,
Blood-B,chr20,16373028,16373294,25225019,25225027,chr20:16373028-16373294,8CpGs,266bp,0.023,0.946,0.923,intron,KIF16B,,,,,,,,,,,,,
Blood-B,chr12,65007600,65007773,17864392,17864399,chr12:65007600-65007773,7CpGs,173bp,0.0181,0.914,0.896,intron,RASSF3,,,,,,,,,,,,,
Blood-B,chr6,14254953,14255246,9215497,9215506,chr6:14254953-14255246,9CpGs,293bp,0.0611,0.949,0.888,Intergenic,CD83,,,,,,,,,,,,,
Blood-B,chr13,31017465,31018922,18686517,18686539,chr13:31017465-31018922,22CpGs,1457bp,0.085,0.937,0.852,Intergenic,HMGB1,,,,,,,,,,,,,
Blood-B,chr18,21059320,21059755,23529659,23529664,chr18:21059320-21059755,5CpGs,435bp,0.0974,0.928,0.83,intron,RIOK3,,,,,,,,,,,,,
Blood-B,chr11,2414931,2415351,16049631,16049650,chr11:2414931-2415351,19CpGs,420bp,0.119,0.926,0.807,intron,CD81,,,,,,,,,,,,,
Blood-B,chr6,99932478,99932972,9907569,9907576,chr6:99932478-99932972,7CpGs,494bp,0.0426,0.935,0.893,intron,USP45,,,,,,,,,,,,,
Blood-B,chr15,50736822,50737207,20526474,20526481,chr15:50736822-50737207,7CpGs,385bp,0.0205,0.943,0.922,intron,USP8,,,,,,,,,,,,,
Blood-B,chr2,145319859,145320213,3609756,3609762,chr2:145319859-145320213,6CpGs,354bp,0.0288,0.929,0.9,Intergenic,ZEB2,,,,,,,,,,,,,
Blood-B,chr11,75602735,75602937,16762358,16762365,chr11:75602735-75602937,7CpGs,202bp,0.0925,0.916,0.824,intron,UVRAG,,,,,,,,,,,,,
Blood-B,chr2,3258229,3258479,2333123,2333131,chr2:3258229-3258479,8CpGs,250bp,0.106,0.936,0.83,intron,TSSC1,,,,,,,,,,,,,
Blood-B,chr22,42752683,42752806,26578416,26578423,chr22:42752683-42752806,7CpGs,123bp,0.017,0.871,0.854,Intergenic,NFAM1,,,,,,,,,,,,,
Blood-B,chr21,34668541,34668701,25964130,25964136,chr21:34668541-34668701,6CpGs,160bp,0.0298,0.932,0.903,exon;intron,IL10RB,,,,,,,,,,,,,
Blood-B,chr16,29348723,29349010,21541414,21541427,chr16:29348723-29349010,13CpGs,287bp,0.0242,0.928,0.904,intron,SNX29P2,,,,,,,,,,,,,
Blood-B,chr12,132250981,132251257,18511404,18511415,chr12:132250981-132251257,11CpGs,276bp,0.0191,0.908,0.889,intron,SFSWAP,,,,,,,,,,,,,
Blood-B,chr19,11548895,11549203,24319691,24319700,chr19:11548895-11549203,9CpGs,308bp,0.111,0.916,0.804,intron,PRKCSH,,,,,,,,,,,,,
Blood-B,chr3,194417128,194417264,6013919,6013924,chr3:194417128-194417264,5CpGs,136bp,0.0945,0.864,0.77,Intergenic,FAM43A,,,,,,,,,,,,,
Blood-B,chr13,100026972,100027482,19176679,19176688,chr13:100026972-100027482,9CpGs,510bp,0.0217,0.907,0.885,intron,UBAC2,,,,,,,,,,,,,
Blood-B,chr8,28196033,28196315,12426774,12426781,chr8:28196033-28196315,7CpGs,282bp,0.0207,0.901,0.88,intron,PNOC,,,,,,,,,,,,,
Blood-B,chr19,2680895,2681205,24113988,24113996,chr19:2680895-2681205,8CpGs,310bp,0.0217,0.903,0.881,intron,GNG7,,,,,,,,,,,,,
Blood-B,chr9,125996217,125997178,14327507,14327524,chr9:125996217-125997178,17CpGs,961bp,0.0992,0.946,0.846,intron,STRBP,,,,,,,,,,,,,
Blood-Granul,chr12,57894060,57894297,17813435,17813444,chr12:57894060-57894297,9CpGs,237bp,0.0589,0.954,0.895,exon,MARS,,,,,,,,,,,,,
Blood-Granul,chr12,32740571,32741585,17590076,17590083,chr12:32740571-32741585,7CpGs,1014bp,0.0343,0.917,0.882,intron,FGD4,,,,,,,,,,,,,
Blood-Granul,chr7,100028821,100028980,11507677,11507685,chr7:100028821-100028980,8CpGs,159bp,0.0127,0.898,0.885,exon,MEPCE,,,,,,,,,,,,,
Blood-Granul,chr10,120801913,120802124,15767055,15767068,chr10:120801913-120802124,13CpGs,211bp,0.175,0.925,0.75,exon,EIF3A,,,,,,,,,,,,,
Blood-Granul,chr1,3563696,3563874,97449,97456,chr1:3563696-3563874,7CpGs,178bp,0.1,0.884,0.784,intron,WRAP73,,,,,,,,,,,,,
Blood-Granul,chr10,134400435,134400536,15950499,15950506,chr10:134400435-134400536,7CpGs,101bp,0.0964,0.907,0.811,intron,INPP5A,,,,,,,,,,,,,
Blood-Granul,chr19,1423535,1423830,24069127,24069145,chr19:1423535-1423830,18CpGs,295bp,0.144,0.937,0.793,intron,DAZAP1,,,,,,,,,,,,,
Blood-Granul,chr16,1538648,1538671,21142816,21142821,chr16:1538648-1538671,5CpGs,23bp,0.0574,0.909,0.852,promoter-TSS,PTX4,,,,,,,,,,,,,
Blood-Granul,chr9,139812189,139812430,14595476,14595489,chr9:139812189-139812430,13CpGs,241bp,0.0758,0.93,0.854,intron,TRAF2,,,,,,,,,,,,,
Blood-Granul,chr7,2874556,2874621,10613740,10613747,chr7:2874556-2874621,7CpGs,65bp,0.161,0.93,0.769,intron,GNA12,,,,,,,,,,,,,
Blood-Granul,chr13,21045259,21045318,18574717,18574722,chr13:21045259-21045318,5CpGs,59bp,0.0941,0.917,0.822,intron,CRYL1,,,,,,,,,,,,,
Blood-Granul,chr17,18672614,18672919,22488387,22488394,chr17:18672614-18672919,7CpGs,305bp,0.0933,0.913,0.819,intron,FBXW10,,,,,,,,,,,,,
Blood-Granul,chr14,102676909,102677377,20120931,20120956,chr14:102676909-102677377,25CpGs,468bp,0.0449,0.924,0.879,TTS,WDR20,,,,,,,,,,,,,
Blood-Granul,chr11,68529887,68530203,16660668,16660681,chr11:68529887-68530203,13CpGs,316bp,0.23,0.936,0.706,intron,CPT1A,,,,,,,,,,,,,
Blood-Granul,chr8,131000173,131000563,13202910,13202934,chr8:131000173-131000563,24CpGs,390bp,0.167,0.939,0.771,intron,FAM49B,,,,,,,,,,,,,
Blood-Granul,chr17,10581513,10582302,22387515,22387528,chr17:10581513-10582302,13CpGs,789bp,0.241,0.937,0.696,Intergenic,SCO1,,,,,,,,,,,,,
Blood-Granul,chr1,206898410,206898583,1862365,1862371,chr1:206898410-206898583,6CpGs,173bp,0.0398,0.917,0.877,intron,MAPKAPK2,,,,,,,,,,,,,
Blood-Granul,chr9,132286031,132286384,14430048,14430057,chr9:132286031-132286384,9CpGs,353bp,0.106,0.934,0.827,Intergenic,LOC100506190,,,,,,,,,,,,,
Blood-Granul,chr15,91488251,91488695,20967417,20967426,chr15:91488251-91488695,9CpGs,444bp,0.0751,0.912,0.837,intron,UNC45A,,,,,,,,,,,,,
Blood-Granul,chr7,2185546,2185719,10595225,10595234,chr7:2185546-2185719,9CpGs,173bp,0.0945,0.946,0.851,intron,MAD1L1,,,,,,,,,,,,,
Blood-Granul,chr17,47312993,47313289,22850658,22850663,chr17:47312993-47313289,5CpGs,296bp,0.0166,0.769,0.753,Intergenic,PHOSPHO1,,,,,,,,,,,,,
Blood-Granul,chr17,74324646,74325212,23170589,23170603,chr17:74324646-74325212,14CpGs,566bp,0.365,0.942,0.576,intron,PRPSAP1,,,,,,,,,,,,,
Blood-Granul,chr1,208028803,208028930,1872127,1872133,chr1:208028803-208028930,6CpGs,127bp,0.218,0.948,0.73,Intergenic,LOC148696,,,,,,,,,,,,,
Blood-Granul,chr3,128710307,128710637,5492615,5492632,chr3:128710307-128710637,17CpGs,330bp,0.0383,0.921,0.883,intron,KIAA1257,,,,,,,,,,,,,
Blood-Granul,chr7,2116648,2116853,10592996,10593012,chr7:2116648-2116853,16CpGs,205bp,0.0702,0.95,0.88,intron,MAD1L1,,,,,,,,,,,,,
Blood-Mono+Macro,chr16,29184910,29185242,21537825,21537834,chr16:29184910-29185242,9CpGs,332bp,0.123,0.926,0.803,Intergenic,RRN3P2,,,,,,,,,,,,,
Blood-Mono+Macro,chr12,14405611,14405731,17448003,17448009,chr12:14405611-14405731,6CpGs,120bp,0.237,0.936,0.699,Intergenic,ATF7IP,,,,,,,,,,,,,
Blood-Mono+Macro,chr21,47851984,47852146,26170476,26170486,chr21:47851984-47852146,10CpGs,162bp,0.144,0.874,0.73,exon,PCNT,,,,,,,,,,,,,
Blood-Mono+Macro,chr19,52314719,52314908,24952827,24952835,chr19:52314719-52314908,8CpGs,189bp,0.144,0.891,0.747,intron,FPR3,,,,,,,,,,,,,
Blood-Mono+Macro,chr2,122044859,122045165,3414526,3414531,chr2:122044859-122045165,5CpGs,306bp,0.119,0.868,0.749,Intergenic,TFCP2L1,,,,,,,,,,,,,
Blood-Mono+Macro,chr6,170120696,170121156,10512647,10512652,chr6:170120696-170121156,5CpGs,460bp,0.275,0.96,0.685,intron,PHF10,,,,,,,,,,,,,
Blood-Mono+Macro,chr11,126183833,126184071,17177930,17177935,chr11:126183833-126184071,5CpGs,238bp,0.272,0.928,0.656,intron,DCPS,,,,,,,,,,,,,
Blood-Mono+Macro,chr1,40299132,40299886,644988,644997,chr1:40299132-40299886,9CpGs,754bp,0.324,0.946,0.621,Intergenic,BMP8B,,,,,,,,,,,,,
Blood-Mono+Macro,chr2,241645712,241645919,4415930,4415935,chr2:241645712-241645919,5CpGs,207bp,0.115,0.837,0.722,Intergenic,AQP12A,,,,,,,,,,,,,
Blood-Mono+Macro,chr12,121898783,121899485,18353955,18353965,chr12:121898783-121899485,10CpGs,702bp,0.254,0.915,0.661,intron,KDM2B,,,,,,,,,,,,,
Blood-Mono+Macro,chr1,46483872,46484335,721816,721822,chr1:46483872-46484335,6CpGs,463bp,0.369,0.928,0.56,intron,MAST2,,,,,,,,,,,,,
Blood-Mono+Macro,chr10,50493567,50493836,15136536,15136542,chr10:50493567-50493836,6CpGs,269bp,0.122,0.802,0.68,Intergenic,C10orf71,,,,,,,,,,,,,
Blood-Mono+Macro,chr19,46396750,46397031,24826996,24827002,chr19:46396750-46397031,6CpGs,281bp,0.13,0.873,0.743,intron,MYPOP,,,,,,,,,,,,,
Blood-Mono+Macro,chr19,6686504,6686578,24221665,24221670,chr19:6686504-6686578,5CpGs,74bp,0.171,0.879,0.708,exon;intron,C3,,,,,,,,,,,,,
Blood-Mono+Macro,chr8,28961290,28961451,12436276,12436284,chr8:28961290-28961451,8CpGs,161bp,0.141,0.895,0.753,intron,KIF13B,,,,,,,,,,,,,
Blood-Mono+Macro,chr12,402268,402558,17279375,17279380,chr12:402268-402558,5CpGs,290bp,0.322,0.952,0.629,intron,KDM5A,,,,,,,,,,,,,
Blood-Mono+Macro,chr12,26513019,26513305,17535374,17535384,chr12:26513019-26513305,10CpGs,286bp,0.126,0.913,0.788,intron,ITPR2,,,,,,,,,,,,,
Blood-Mono+Macro,chr1,149903127,149903316,1363668,1363678,chr1:149903127-149903316,10CpGs,189bp,0.253,0.907,0.653,intron,MTMR11,,,,,,,,,,,,,
Blood-Mono+Macro,chr20,35898650,35898959,25419156,25419166,chr20:35898650-35898959,10CpGs,309bp,0.234,0.903,0.668,Intergenic,GHRH,,,,,,,,,,,,,
Blood-Mono+Macro,chr5,132098766,132099123,8541734,8541739,chr5:132098766-132099123,5CpGs,357bp,0.344,0.906,0.563,intron,SEPT8,,,,,,,,,,,,,
Blood-Mono+Macro,chr19,4666898,4667172,24172997,24173004,chr19:4666898-4667172,7CpGs,274bp,0.28,0.936,0.657,intron,C19orf10,,,,,,,,,,,,,
Blood-Mono+Macro,chr3,46174143,46174988,4840957,4840965,chr3:46174143-46174988,8CpGs,845bp,0.25,0.881,0.631,Intergenic,CCR1,,,,,,,,,,,,,
Blood-Mono+Macro,chr3,57968138,57968695,4989233,4989243,chr3:57968138-57968695,10CpGs,557bp,0.327,0.919,0.592,Intergenic,FLNB,,,,,,,,,,,,,
Blood-Mono+Macro,chr12,125204469,125204695,18417681,18417687,chr12:125204469-125204695,6CpGs,226bp,0.301,0.892,0.591,Intergenic,SCARB1,,,,,,,,,,,,,
Blood-Mono+Macro,chr10,95146992,95147326,15513403,15513409,chr10:95146992-95147326,6CpGs,334bp,0.299,0.913,0.613,intron,MYOF,,,,,,,,,,,,,
Blood-NK,chr2,232393196,232393817,4274370,4274390,chr2:232393196-232393817,20CpGs,621bp,0.105,0.925,0.82,exon;intron,NMUR1,,,,,,,,,,,,,
Blood-NK,chr13,114836096,114836754,19349032,19349086,chr13:114836096-114836754,54CpGs,658bp,0.284,0.965,0.681,intron,RASA3,,,,,,,,,,,,,
Blood-NK,chr12,9795269,9795804,17405667,17405680,chr12:9795269-9795804,13CpGs,535bp,0.0609,0.904,0.843,promoter-TSS,LOC374443,,,,,,,,,,,,,
Blood-NK,chr2,120686123,120686629,3394234,3394242,chr2:120686123-120686629,8CpGs,506bp,0.252,0.943,0.691,intron,PTPN4,,,,,,,,,,,,,
Blood-NK,chr7,158525146,158525802,12086640,12086649,chr7:158525146-158525802,9CpGs,656bp,0.293,0.927,0.634,exon,ESYT2,,,,,,,,,,,,,
Blood-NK,chr7,1983823,1983919,10588864,10588869,chr7:1983823-1983919,5CpGs,96bp,0.146,0.889,0.743,intron,MAD1L1,,,,,,,,,,,,,
Blood-NK,chr7,3208603,3208890,10619480,10619487,chr7:3208603-3208890,7CpGs,287bp,0.151,0.868,0.717,Intergenic,CARD11,,,,,,,,,,,,,
Blood-NK,chr13,110386260,110386324,19266791,19266799,chr13:110386260-110386324,8CpGs,64bp,0.124,0.936,0.812,Intergenic,IRS2,,,,,,,,,,,,,
Blood-NK,chr16,85676577,85676678,22071836,22071842,chr16:85676577-85676678,6CpGs,101bp,0.102,0.905,0.803,intron,GSE1,,,,,,,,,,,,,
Blood-NK,chr22,22043963,22044243,26274484,26274494,chr22:22043963-22044243,10CpGs,280bp,0.158,0.907,0.749,intron,PPIL2,,,,,,,,,,,,,
Blood-NK,chr7,1983944,1984039,10588870,10588878,chr7:1983944-1984039,8CpGs,95bp,0.199,0.872,0.673,intron,MAD1L1,,,,,,,,,,,,,
Blood-NK,chr7,73645894,73646049,11277426,11277435,chr7:73645894-73646049,9CpGs,155bp,0.0149,0.904,0.889,TTS,RFC2,,,,,,,,,,,,,
Blood-NK,chr21,34575182,34575275,25962850,25962855,chr21:34575182-34575275,5CpGs,93bp,0.306,0.9,0.594,Intergenic,IFNAR2,,,,,,,,,,,,,
Blood-NK,chr12,2613403,2613466,17310080,17310085,chr12:2613403-2613466,5CpGs,63bp,0.24,0.905,0.666,intron,CACNA1C,,,,,,,,,,,,,
Blood-NK,chr8,1687524,1687740,12130532,12130538,chr8:1687524-1687740,6CpGs,216bp,0.305,0.901,0.597,Intergenic,CLN8,,,,,,,,,,,,,
Blood-NK,chr17,72461209,72462165,23130766,23130775,chr17:72461209-72462165,9CpGs,956bp,0.161,0.857,0.696,Intergenic;promoter-TSS,CD300A,,,,,,,,,,,,,
Blood-NK,chr12,295321,295414,17277675,17277681,chr12:295321-295414,6CpGs,93bp,0.192,0.854,0.662,Intergenic,SLC6A12,,,,,,,,,,,,,
Blood-NK,chr2,128738772,128738952,3470823,3470829,chr2:128738772-128738952,6CpGs,180bp,0.348,0.93,0.582,intron,SAP130,,,,,,,,,,,,,
Blood-NK,chr11,119767286,119767429,17108938,17108943,chr11:119767286-119767429,5CpGs,143bp,0.0533,0.863,0.809,Intergenic,PVRL1,,,,,,,,,,,,,
Blood-NK,chr1,178380889,178381054,1631706,1631711,chr1:178380889-178381054,5CpGs,165bp,0.0525,0.898,0.845,intron,RASAL2,,,,,,,,,,,,,
Blood-NK,chr16,85676406,85676565,22071826,22071836,chr16:85676406-85676565,10CpGs,159bp,0.0962,0.85,0.754,intron,GSE1,,,,,,,,,,,,,
Blood-NK,chr17,79422295,79422531,23287878,23287893,chr17:79422295-79422531,15CpGs,236bp,0.381,0.941,0.56,intron,BAHCC1,,,,,,,,,,,,,
Blood-NK,chr1,167452005,167452992,1552046,1552059,chr1:167452005-167452992,13CpGs,987bp,0.189,0.887,0.697,intron,CD247,,,,,,,,,,,,,
Blood-NK,chr2,238809828,238810424,4363898,4363909,chr2:238809828-238810424,11CpGs,596bp,0.122,0.902,0.78,intron,RAMP1,,,,,,,,,,,,,
Blood-NK,chr5,159701203,159701619,8805955,8805962,chr5:159701203-159701619,7CpGs,416bp,0.219,0.855,0.636,intron,CCNJL,,,,,,,,,,,,,
Blood-T,chr11,118213527,118214011,17084503,17084512,chr11:118213527-118214011,9CpGs,484bp,0.0568,0.875,0.818,promoter-TSS,CD3D,,,,,,,,,,,,,
Blood-T,chr5,118635509,118635758,8447215,8447229,chr5:118635509-118635758,14CpGs,249bp,0.0181,0.913,0.894,intron,TNFAIP8,,,,,,,,,,,,,
Blood-T,chr11,118212314,118213273,17084487,17084498,chr11:118212314-118213273,11CpGs,959bp,0.0172,0.883,0.866,intron,CD3D,,,,,,,,,,,,,
Blood-T,chr11,118175631,118176495,17083995,17084009,chr11:118175631-118176495,14CpGs,864bp,0.0146,0.896,0.881,exon;intron,CD3E,,,,,,,,,,,,,
Blood-T,chr17,80084861,80085214,23309318,23309334,chr17:80084861-80085214,16CpGs,353bp,0.0938,0.919,0.825,intron,CCDC57,,,,,,,,,,,,,
Blood-T,chr8,28918821,28919042,12435472,12435482,chr8:28918821-28919042,10CpGs,221bp,0.0621,0.923,0.861,Intergenic,HMBOX1,,,,,,,,,,,,,
Blood-T,chr22,48475730,48475917,26687821,26687830,chr22:48475730-48475917,9CpGs,187bp,0.0993,0.853,0.754,Intergenic,MIR3201,,,,,,,,,,,,,
Blood-T,chr16,28996939,28997967,21534233,21534260,chr16:28996939-28997967,27CpGs,1028bp,0.0511,0.944,0.893,TTS;exon,LAT;SPNS1,,,,,,,,,,,,,
Blood-T,chr14,22995934,22997013,19394316,19394340,chr14:22995934-22997013,24CpGs,1079bp,0.114,0.888,0.774,Intergenic,DAD1,,,,,,,,,,,,,
Blood-T,chr17,80084450,80084581,23309298,23309306,chr17:80084450-80084581,8CpGs,131bp,0.0658,0.941,0.875,intron,CCDC57,,,,,,,,,,,,,
Blood-T,chr19,9973597,9973739,24281568,24281574,chr19:9973597-9973739,6CpGs,142bp,0.0238,0.775,0.751,intron,OLFM2,,,,,,,,,,,,,
Blood-T,chr1,12237782,12237918,247727,247734,chr1:12237782-12237918,7CpGs,136bp,0.0781,0.861,0.783,intron,TNFRSF1B,,,,,,,,,,,,,
Blood-T,chr11,118214762,118215449,17084527,17084534,chr11:118214762-118215449,7CpGs,687bp,0.0224,0.813,0.791,exon;promoter-TSS,CD3G,,,,,,,,,,,,,
