"chr","start","end","details"
"chr17","55090046","55090046","Smoking cessation (10 years)"
"chr2","111239222","111239222","Smoking cessation (20 years)"
"chr19","45885529","45885529","Smoking cessation (15 years)"
"chr16","15694063","15694063","Smoking cessation (30 years)"
"chr20","16050029","16050029","Smoking cessation (30 years)"
"chr10","43402585","43402585","Smoking cessation (15 years)"
"chr1","2230562","2230562","Smoking cessation (15 years)"
"chr7","111091145","111091145","Smoking cessation (30 years)"
"chr17","40347550","40347550","Smoking cessation (20 years)"
"chr20","32206808","32206808","Smoking cessation (15 years)"
"chr10","43399777","43399777","Smoking cessation (10 years)"
"chr6","33533602","33533602","Smoking cessation (30 years)"
"chr19","8053014","8053014","Smoking cessation (30 years)"
"chr20","19210501","19210501","Smoking cessation (20 years)"
"chr19","12665911","12665911","Smoking cessation (15 years)"
"chr11","86799873","86799873","Smoking cessation (30 years)"
"chr5","368728","368728","Smoking cessation (30 years)"
"chr18","59898912","59898912","Smoking cessation (10 years)"
"chr20","46361952","46361952","Smoking cessation (15 years)"
"chr19","39126178","39126178","Smoking cessation (15 years)"
"chr11","118882953","118882953","Smoking cessation (15 years)"
"chr6","118710759","118710759","Smoking cessation (15 years)"
"chr20","32744015","32744015","Smoking cessation (10 years)"
"chr3","127536709","127536709","Smoking cessation (30 years)"
"chr13","50128659","50128659","Smoking cessation (10 years)"
"chr6","41545428","41545428","Smoking cessation (10 years)"
"chr9","127978320","127978320","Smoking cessation (20 years)"
"chr12","53218767","53218767","Smoking cessation (30 years)"
"chr19","45180005","45180005","Smoking cessation (10 years)"
"chr6","32148540","32148540","Smoking cessation (30 years)"
"chr1","92482404","92482404","Smoking cessation (30 years)"
"chr7","110641300","110641300","Smoking cessation (30 years)"
"chr7","80918373","80918373","Smoking cessation (15 years)"
"chr6","31580563","31580563","Smoking cessation (10 years)"
"chr19","2093897","2093897","Smoking cessation (20 years)"
"chr1","24920363","24920363","Smoking cessation (10 years)"
"chr7","146117060","146117060","Smoking cessation (20 years)"
"chr6","7053501","7053501","Smoking cessation (15 years)"
"chr4","40630345","40630345","Smoking cessation (20 years)"
"chr8","66431398","66431398","Smoking cessation (10 years)"
"chr1","41485841","41485841","Smoking cessation (20 years)"
"chr16","17468562","17468562","Smoking cessation (15 years)"
"chr7","1921159","1921159","Smoking cessation (15 years)"
"chr1","92481478","92481478","Smoking cessation (20 years)"
"chr8","92095166","92095166","Smoking cessation (20 years)"
"chr19","49688182","49688182","Smoking cessation (15 years)"
"chr7","2084931","2084931","Smoking cessation (30 years)"
"chr15","28921545","28921545","Smoking cessation (30 years)"
"chr1","101044001","101044001","Smoking cessation (30 years)"
"chr14","93957358","93957358","Smoking cessation (15 years)"
"chr1","89824052","89824052","Smoking cessation (10 years)"
"chr7","39625015","39625015","Smoking cessation (10 years)"
"chr10","95237620","95237620","Smoking cessation (15 years)"
"chr6","161186455","161186455","Smoking cessation (30 years)"
"chr12","7107950","7107950","Smoking cessation (20 years)"
"chr2","232419951","232419951","Smoking cessation (30 years)"
"chr5","139273533","139273533","Smoking cessation (10 years)"
"chr7","22855209","22855209","Smoking cessation (15 years)"
"chr18","59899068","59899068","Smoking cessation (15 years)"
"chr6","33430182","33430182","Smoking cessation (15 years)"
"chr7","100868211","100868211","Smoking cessation (20 years)"
"chr19","43774476","43774476","Smoking cessation (20 years)"
"chr6","31580330","31580330","Smoking cessation (15 years)"
"chr13","42274231","42274231","Smoking cessation (20 years)"
"chr5","373184","373184","Smoking cessation (20 years)"
"chr11","86799956","86799956","Smoking cessation (30 years)"
"chr5","368689","368689","Smoking cessation (30 years)"
"chr9","127450271","127450271","Smoking cessation (20 years)"
"chr2","231393652","231393652","Smoking cessation (30 years)"
"chr8","6561457","6561457","Smoking cessation (10 years)"
"chr3","30650001","30650001","Smoking cessation (15 years)"
"chr2","230944957","230944957","Smoking cessation (10 years)"
"chr1","67833810","67833810","Smoking cessation (30 years)"
"chr7","100888627","100888627","Smoking cessation (15 years)"
"chr6","32148761","32148761","Smoking cessation (30 years)"
"chr19","44749698","44749698","Smoking cessation (20 years)"
"chr5","424256","424256","Smoking cessation (10 years)"
"chr13","50128778","50128778","Smoking cessation (10 years)"
"chr2","112647084","112647084","Smoking cessation (20 years)"
"chr10","98404837","98404837","Smoking cessation (10 years)"
"chr16","50741377","50741377","Smoking cessation (15 years)"
"chr10","43396627","43396627","Smoking cessation (15 years)"
"chr6","155121859","155121859","Smoking cessation (30 years)"
"chr6","31621816","31621816","Smoking cessation (10 years)"
"chr7","102433092","102433092","Smoking cessation (15 years)"
"chr6","155216838","155216838","Smoking cessation (30 years)"
"chr1","42957249","42957249","Smoking cessation (10 years)"
"chr2","232419692","232419692","Smoking cessation (30 years)"
"chr6","30752303","30752303","Smoking cessation (30 years)"
"chr1","202615337","202615337","Smoking cessation (20 years)"
"chr6","32148771","32148771","Smoking cessation (30 years)"
"chr7","100868619","100868619","Smoking cessation (10 years)"
"chr8","22057013","22057013","Smoking cessation (20 years)"
"chr2","232486443","232486443","Smoking cessation (30 years)"
