source,pmid,type,details,chr,start,end
alcohol-consumption,27843151,model,cg03599037,10,82172508,82172508
alcohol-consumption,27843151,model,cg03725309,1,109757585,109757585
alcohol-consumption,27843151,model,cg03954858,22,40404957,40404957
alcohol-consumption,27843151,model,cg03997643,9,137030726,137030726
alcohol-consumption,27843151,model,cg04491089,16,84151300,84151300
alcohol-consumption,27843151,model,cg04843111,1,156617074,156617074
alcohol-consumption,27843151,model,cg04907244,7,22894795,22894795
alcohol-consumption,27843151,model,cg05143694,7,132299913,132299913
alcohol-consumption,27843151,model,cg05670953,3,37033903,37033903
alcohol-consumption,27843151,model,cg05903736,2,240197131,240197131
alcohol-consumption,27843151,model,cg06469895,16,69418206,69418206
alcohol-consumption,27843151,model,cg06940168,17,64370665,64370665
alcohol-consumption,27843151,model,cg06996423,10,105236233,105236233
alcohol-consumption,27843151,model,cg07173823,1,45190519,45190519
alcohol-consumption,27843151,model,cg07504977,10,102131012,102131012
alcohol-consumption,27843151,model,cg08115371,11,79115706,79115706
alcohol-consumption,27843151,model,cg08335767,6,34206495,34206495
alcohol-consumption,27843151,model,cg08962271,11,67273496,67273496
alcohol-consumption,27843151,model,cg09326440,6,30458161,30458161
alcohol-consumption,27843151,model,cg11130692,8,141643919,141643919
alcohol-consumption,27843151,model,cg11414821,6,30652771,30652771
alcohol-consumption,27843151,model,cg11682350,6,33240284,33240284
alcohol-consumption,27843151,model,cg12807764,5,146864669,146864669
alcohol-consumption,27843151,model,cg14741228,12,31476479,31476479
alcohol-consumption,27843151,model,cg15253293,17,79366853,79366853
alcohol-consumption,27843151,model,cg16290996,1,173835989,173835989
alcohol-consumption,27843151,model,cg16492851,7,1062681,1062681
alcohol-consumption,27843151,model,cg16702313,14,74251926,74251926
alcohol-consumption,27843151,model,cg16977872,11,64008132,64008132
alcohol-consumption,27843151,model,cg17192599,7,151504864,151504864
alcohol-consumption,27843151,model,cg18032812,7,56951337,56951337
alcohol-consumption,27843151,model,cg18336453,6,43082296,43082296
alcohol-consumption,27843151,model,cg18842187,6,33647826,33647826
alcohol-consumption,27843151,model,cg18933331,1,110186418,110186418
alcohol-consumption,27843151,model,cg19266329,1,145456128,145456128
alcohol-consumption,27843151,model,cg19459094,5,176856845,176856845
alcohol-consumption,27843151,model,cg19704902,2,8445893,8445893
alcohol-consumption,27843151,model,cg20970369,1,111744108,111744108
alcohol-consumption,27843151,model,cg21870662,17,2241570,2241570
alcohol-consumption,27843151,model,cg23482898,3,12858887,12858887
alcohol-consumption,27843151,model,cg23893460,15,72492422,72492422
alcohol-consumption,27843151,model,cg23975840,12,117042895,117042895
alcohol-consumption,27843151,model,cg24242519,2,16846569,16846569
alcohol-consumption,27843151,model,cg24754633,14,91831327,91831327
alcohol-consumption,27843151,model,cg26829071,12,131590596,131590596
alcohol-consumption,27843151,model,cg27537125,1,25349681,25349681
alcohol-consumption,27843151,model,cg00045114,1,172674159,172674159
alcohol-consumption,27843151,model,cg00907427,1,23668691,23668691
alcohol-consumption,27843151,model,cg01054402,2,85551850,85551850
alcohol-consumption,27843151,model,cg01614597,19,14185403,14185403
alcohol-consumption,27843151,model,cg01620757,17,4635229,4635229
alcohol-consumption,27843151,model,cg01859460,19,2273050,2273050
alcohol-consumption,27843151,model,cg02104962,6,31548314,31548314
alcohol-consumption,27843151,model,cg02707799,8,41814854,41814854
alcohol-consumption,27843151,model,cg02995045,1,6419906,6419906
alcohol-consumption,27843151,model,cg03013276,22,24058932,24058932
alcohol-consumption,27843151,model,cg03184011,20,39945503,39945503
alcohol-consumption,27843151,model,cg03331229,11,102821111,102821111
alcohol-consumption,27843151,model,cg03524354,19,54301639,54301639
alcohol-consumption,27843151,model,cg04134965,22,44423205,44423205
alcohol-consumption,27843151,model,cg04551776,5,393366,393366
alcohol-consumption,27843151,model,cg04737759,6,155253937,155253937
alcohol-consumption,27843151,model,cg05205842,4,38673130,38673130
alcohol-consumption,27843151,model,cg05683445,16,28303182,28303182
alcohol-consumption,27843151,model,cg06638811,9,137030555,137030555
alcohol-consumption,27843151,model,cg06657944,3,176915062,176915062
alcohol-consumption,27843151,model,cg07104958,10,46168551,46168551
alcohol-consumption,27843151,model,cg07957491,9,134407190,134407190
alcohol-consumption,27843151,model,cg08559712,20,16030674,16030674
alcohol-consumption,27843151,model,cg08766770,16,28123059,28123059
alcohol-consumption,27843151,model,cg09155905,17,33447236,33447236
alcohol-consumption,27843151,model,cg09175009,16,10912699,10912699
alcohol-consumption,27843151,model,cg09882118,3,48508272,48508272
alcohol-consumption,27843151,model,cg09999582,2,103352711,103352711
alcohol-consumption,27843151,model,cg10010533,11,82445170,82445170
alcohol-consumption,27843151,model,cg10317175,10,25247855,25247855
alcohol-consumption,27843151,model,cg10401367,1,151031295,151031295
alcohol-consumption,27843151,model,cg11237406,17,4649333,4649333
alcohol-consumption,27843151,model,cg11253416,8,82643680,82643680
alcohol-consumption,27843151,model,cg11376147,11,57261198,57261198
alcohol-consumption,27843151,model,cg12340144,3,38388808,38388808
alcohol-consumption,27843151,model,cg12616487,11,62379063,62379063
alcohol-consumption,27843151,model,cg12688670,16,29801602,29801602
alcohol-consumption,27843151,model,cg13442969,12,68044208,68044208
alcohol-consumption,27843151,model,cg14576319,3,171175713,171175713
alcohol-consumption,27843151,model,cg14588638,22,29665400,29665400
alcohol-consumption,27843151,model,cg16014412,1,9687471,9687471
alcohol-consumption,27843151,model,cg16246545,1,120255941,120255941
alcohol-consumption,27843151,model,cg16407699,10,74020428,74020428
alcohol-consumption,27843151,model,cg16696035,17,17126176,17126176
alcohol-consumption,27843151,model,cg16882373,7,26191458,26191458
alcohol-consumption,27843151,model,cg17485681,10,73565625,73565625
alcohol-consumption,27843151,model,cg17757575,17,34068891,34068891
alcohol-consumption,27843151,model,cg18018313,2,227657192,227657192
alcohol-consumption,27843151,model,cg19238380,1,156093948,156093948
alcohol-consumption,27843151,model,cg19939077,10,81108060,81108060
alcohol-consumption,27843151,model,cg20249277,7,112120877,112120877
alcohol-consumption,27843151,model,cg20303561,14,91881497,91881497
alcohol-consumption,27843151,model,cg20699548,8,71060638,71060638
alcohol-consumption,27843151,model,cg21187770,2,26205876,26205876
alcohol-consumption,27843151,model,cg21248060,7,1039957,1039957
alcohol-consumption,27843151,model,cg21429551,7,30635762,30635762
alcohol-consumption,27843151,model,cg22160883,5,138609222,138609222
alcohol-consumption,27843151,model,cg22332722,18,25754857,25754857
alcohol-consumption,27843151,model,cg22871253,6,159238744,159238744
alcohol-consumption,27843151,model,cg22986999,11,68781976,68781976
alcohol-consumption,27843151,model,cg23166988,16,2070861,2070861
alcohol-consumption,27843151,model,cg23299618,11,45102239,45102239
alcohol-consumption,27843151,model,cg23444264,10,72219751,72219751
alcohol-consumption,27843151,model,cg23654112,16,2525928,2525928
alcohol-consumption,27843151,model,cg25109663,3,114102785,114102785
alcohol-consumption,27843151,model,cg27492942,17,36885965,36885965
alcohol-consumption,36443762,ewas,cg06690548,4,139162808,139162808
alcohol-consumption,36443762,ewas,cg03497652,16,4751569,4751569
alcohol-consumption,36443762,ewas,cg00716257,14,75897417,75897417
alcohol-consumption,34857913,ewas,cg06690548,4,139162808,139162808
alcohol-consumption,34857913,ewas,cg12825509,3,185648568,185648568
alcohol-consumption,34857913,ewas,cg14476101,1,120255992,120255992
alcohol-consumption,34857913,ewas,cg06644515,1,173834831,173834831
alcohol-consumption,34857913,ewas,cg02711608,19,47287964,47287964
alcohol-consumption,34857913,ewas,cg02583484,12,54677008,54677008
alcohol-consumption,34857913,ewas,cg11376147,11,57261198,57261198
alcohol-consumption,34857913,ewas,cg18120259,6,43894639,43894639
alcohol-consumption,34857913,ewas,cg26856289,1,24307516,24307516
alcohol-consumption,34857913,ewas,cg16246545,1,120255941,120255941
alcohol-consumption,34857913,ewas,cg00422488,9,100747767,100747767
alcohol-consumption,34857913,ewas,cg11826008,20,34249284,34249284
alcohol-consumption,34857913,ewas,cg19693031,1,145441552,145441552
alcohol-consumption,34857913,ewas,cg03044573,1,173835265,173835265
alcohol-consumption,34857913,ewas,cg20625334,2,152991620,152991620
alcohol-consumption,34857913,ewas,cg03523740,1,32645027,32645027
alcohol-consumption,34857913,ewas,cg15114651,19,47289410,47289410
alcohol-consumption,34857913,ewas,cg03339609,19,34662636,34662636
alcohol-consumption,34857913,ewas,cg07626482,19,47289503,47289503
alcohol-consumption,34857913,ewas,cg23205886,5,138611766,138611766
alcohol-consumption,34857913,ewas,cg26841068,1,203456691,203456691
alcohol-consumption,34857913,ewas,cg05288253,16,89552259,89552259
alcohol-consumption,34857913,ewas,cg08115371,11,79115706,79115706
alcohol-consumption,34857913,ewas,cg21429551,7,30635762,30635762
alcohol-consumption,34857913,ewas,cg06469895,16,69418206,69418206
alcohol-consumption,34857913,ewas,cg04460609,4,16532808,16532808
alcohol-consumption,34857913,ewas,cg16290996,1,173835989,173835989
alcohol-consumption,34857913,ewas,cg02578470,3,127320670,127320670
alcohol-consumption,34857913,ewas,cg18763536,12,11812062,11812062
alcohol-consumption,34857913,ewas,cg16834011,22,19931790,19931790
alcohol-consumption,34857913,ewas,cg03725309,1,109757585,109757585
alcohol-consumption,34857913,ewas,cg03217115,2,118942841,118942841
alcohol-consumption,34857913,ewas,cg26873338,12,69637167,69637167
alcohol-consumption,34857913,ewas,cg13981001,9,130211749,130211749
alcohol-consumption,34857913,ewas,cg00252472,6,150739173,150739173
alcohol-consumption,34857913,ewas,cg09646173,5,149317669,149317669
alcohol-consumption,34857913,ewas,cg12866859,17,43224332,43224332
alcohol-consumption,34857913,ewas,cg18336453,6,43082296,43082296
alcohol-consumption,34857913,ewas,cg18159646,11,62621178,62621178
alcohol-consumption,34857913,ewas,cg07814318,15,31624584,31624584
alcohol-consumption,34857913,ewas,cg26959945,7,20233217,20233217
alcohol-consumption,34857913,ewas,cg05512483,11,62621791,62621791
alcohol-consumption,34857913,ewas,cg08297686,14,68943486,68943486
alcohol-consumption,34857913,ewas,cg19695041,8,38615330,38615330
alcohol-consumption,34857913,ewas,cg00139681,7,106125168,106125168
alcohol-consumption,34857913,ewas,cg09981830,7,55376098,55376098
alcohol-consumption,34857913,ewas,cg19731612,5,176559334,176559334
alcohol-consumption,34857913,ewas,cg26282731,4,148939288,148939288
alcohol-consumption,34857913,ewas,cg02256576,16,66995192,66995192
alcohol-consumption,34857913,ewas,cg17962756,5,172769199,172769199
alcohol-consumption,34857913,ewas,cg20146909,1,90289611,90289611
alcohol-consumption,34857913,ewas,cg21161526,9,123691672,123691672
alcohol-consumption,34857913,ewas,cg13980410,5,146870693,146870693
alcohol-consumption,34857913,ewas,cg24451117,6,137094444,137094444
alcohol-consumption,34857913,ewas,cg27637303,2,118942893,118942893
alcohol-consumption,34857913,ewas,cg10005565,2,235578952,235578952
alcohol-consumption,34857913,ewas,cg11613559,10,121577971,121577971
alcohol-consumption,34857913,ewas,cg13526915,14,24164078,24164078
alcohol-consumption,34857913,ewas,cg03337218,10,25189866,25189866
alcohol-consumption,34857913,ewas,cg12807764,5,146864669,146864669
alcohol-consumption,34857913,ewas,cg12490835,10,22623821,22623821
alcohol-consumption,34857913,ewas,cg19202384,17,79894511,79894511
alcohol-consumption,34857913,ewas,cg02913882,3,177196501,177196501
alcohol-consumption,34857913,ewas,cg03285617,6,86179345,86179345
alcohol-consumption,34857913,ewas,cg24679007,1,192604413,192604413
alcohol-consumption,34857913,ewas,cg05603985,1,2161049,2161049
alcohol-consumption,34857913,ewas,cg21522988,12,29376872,29376872
alcohol-consumption,34857913,ewas,cg22499893,1,24307535,24307535
alcohol-consumption,34857913,ewas,cg16505233,3,5239311,5239311
alcohol-consumption,34857913,ewas,cg06799321,16,66995143,66995143
alcohol-consumption,34857913,ewas,cg14628343,8,58788163,58788163
alcohol-consumption,34857913,ewas,cg16100392,6,132931717,132931717
alcohol-consumption,34857913,ewas,cg17378803,2,242823275,242823275
alcohol-consumption,34857913,ewas,cg06983052,1,90288099,90288099
alcohol-consumption,34857913,ewas,cg09448652,11,62621367,62621367
alcohol-consumption,34857913,ewas,cg14482712,15,40348303,40348303
alcohol-consumption,34857913,ewas,cg19351166,2,209133632,209133632
alcohol-consumption,34857913,ewas,cg27230067,1,77933593,77933593
alcohol-consumption,34857913,ewas,cg12069540,10,82173570,82173570
alcohol-consumption,34857913,ewas,cg17593384,4,88000269,88000269
alcohol-consumption,30257690,model,cg16113793,18,21451607,21451607
alcohol-consumption,30257690,model,cg15970375,11,130184946,130184946
alcohol-consumption,30257690,model,cg16057915,1,10690564,10690564
alcohol-consumption,30257690,model,cg01503881,20,57607569,57607569
alcohol-consumption,30257690,model,cg02650017,17,47301614,47301614
alcohol-consumption,30257690,model,cg08174504,4,80993819,80993819
alcohol-consumption,30257690,model,cg19613400,1,40254712,40254712
alcohol-consumption,30257690,model,cg15537269,8,24507197,24507197
alcohol-consumption,30257690,model,cg08033031,19,16528764,16528764
alcohol-consumption,30257690,model,cg27078522,7,4815167,4815167
alcohol-consumption,30257690,model,cg15804767,6,31548596,31548596
alcohol-consumption,30257690,model,cg27118035,16,31891978,31891978
alcohol-consumption,30257690,model,cg03440556,10,102107757,102107757
alcohol-consumption,30257690,model,cg05926784,19,14073277,14073277
alcohol-consumption,30257690,model,cg24011637,2,28614567,28614567
alcohol-consumption,30257690,model,cg25215890,1,160651452,160651452
alcohol-consumption,30257690,model,cg16298547,5,60138761,60138761
alcohol-consumption,30257690,model,cg05322916,6,36880416,36880416
alcohol-consumption,30257690,model,cg10785793,1,207392261,207392261
alcohol-consumption,30257690,model,cg15348839,2,232224846,232224846
alcohol-consumption,30257690,model,cg20060185,12,131162951,131162951
alcohol-consumption,30257690,model,cg10747118,3,184243718,184243718
alcohol-consumption,30257690,model,cg02402946,13,21035079,21035079
alcohol-consumption,30257690,model,cg00107782,1,151300621,151300621
alcohol-consumption,30257690,model,cg17301216,15,89920348,89920348
alcohol-consumption,30257690,model,cg22857025,5,266934,266934
alcohol-consumption,30257690,model,cg27020362,5,138723394,138723394
alcohol-consumption,30257690,model,cg26516004,15,75019376,75019376
alcohol-consumption,30257690,model,cg21376883,1,236850232,236850232
alcohol-consumption,30257690,model,cg13215995,17,43222258,43222258
alcohol-consumption,30257690,model,cg11145772,3,12966188,12966188
alcohol-consumption,30257690,model,cg15020732,15,85144228,85144228
alcohol-consumption,30257690,model,cg11745092,7,42951893,42951893
alcohol-consumption,30257690,model,cg04900872,2,31803536,31803536
alcohol-consumption,30257690,model,cg17132148,20,62509296,62509296
alcohol-consumption,30257690,model,cg23263057,20,62949372,62949372
alcohol-consumption,30257690,model,cg13676763,9,129262204,129262204
alcohol-consumption,30257690,model,cg07872373,15,65322308,65322308
alcohol-consumption,30257690,model,cg27530704,1,27278570,27278570
alcohol-consumption,30257690,model,cg06824394,7,86846535,86846535
alcohol-consumption,30257690,model,cg21803245,14,105331124,105331124
alcohol-consumption,30257690,model,cg04745997,7,86851738,86851738
alcohol-consumption,30257690,model,cg14071612,9,112081275,112081275
alcohol-consumption,30257690,model,cg15831060,2,98326561,98326561
alcohol-consumption,30257690,model,cg06938101,12,42632312,42632312
alcohol-consumption,30257690,model,cg26615853,10,79347104,79347104
alcohol-consumption,30257690,model,cg08080174,16,72992580,72992580
alcohol-consumption,30257690,model,cg17315500,12,103359572,103359572
alcohol-consumption,30257690,model,cg20375320,12,2420738,2420738
alcohol-consumption,30257690,model,cg00332153,4,102712010,102712010
alcohol-consumption,30257690,model,cg21053741,6,31525861,31525861
alcohol-consumption,30257690,model,cg04651583,6,33870691,33870691
alcohol-consumption,30257690,model,cg25115993,6,150285475,150285475
alcohol-consumption,30257690,model,cg00252472,6,150739173,150739173
alcohol-consumption,30257690,model,cg07931411,19,15580721,15580721
alcohol-consumption,30257690,model,cg21628794,11,66631894,66631894
alcohol-consumption,30257690,model,cg22635008,10,50970249,50970249
alcohol-consumption,30257690,model,cg20283716,17,79963039,79963039
alcohol-consumption,30257690,model,cg06802565,1,68788961,68788961
alcohol-consumption,30257690,model,cg15043384,3,149374761,149374761
alcohol-consumption,30257690,model,cg00030466,1,3147891,3147891
alcohol-consumption,30257690,model,cg17591741,1,206316396,206316396
alcohol-consumption,30257690,model,cg09183840,4,48138347,48138347
alcohol-consumption,30257690,model,cg27176628,6,168476656,168476656
alcohol-consumption,30257690,model,cg17090968,12,46663694,46663694
alcohol-consumption,30257690,model,cg23873654,17,26733358,26733358
alcohol-consumption,30257690,model,cg17003395,20,16555519,16555519
alcohol-consumption,30257690,model,cg04678713,3,197236889,197236889
alcohol-consumption,30257690,model,cg02711608,19,47287964,47287964
alcohol-consumption,30257690,model,cg26856289,1,24307516,24307516
alcohol-consumption,30257690,model,cg20306694,12,51718251,51718251
alcohol-consumption,30257690,model,cg26369667,11,101981789,101981789
alcohol-consumption,30257690,model,cg26008007,2,232545866,232545866
alcohol-consumption,30257690,model,cg19692318,6,131384600,131384600
alcohol-consumption,30257690,model,cg12477533,2,98703450,98703450
alcohol-consumption,30257690,model,cg24537348,17,80545705,80545705
alcohol-consumption,30257690,model,cg07814318,15,31624584,31624584
alcohol-consumption,30257690,model,cg19706803,1,3126033,3126033
alcohol-consumption,30257690,model,cg06516445,11,102963032,102963032
alcohol-consumption,30257690,model,cg18917643,5,39476124,39476124
alcohol-consumption,30257690,model,cg06523224,15,83953883,83953883
alcohol-consumption,30257690,model,cg12825509,3,185648568,185648568
alcohol-consumption,30257690,model,cg05962079,1,2428333,2428333
alcohol-consumption,30257690,model,cg24429337,2,113676413,113676413
alcohol-consumption,30257690,model,cg20624830,10,22725885,22725885
alcohol-consumption,30257690,model,cg06690548,4,139162808,139162808
alcohol-consumption,30257690,model,cg01305596,16,16228299,16228299
ancestry,34493871,gwas,cg25156443,10,99531929,99531929
ancestry,34493871,gwas,cg00491021,8,42064880,42064880
ancestry,34493871,gwas,cg19013753,15,75915192,75915192
ancestry,34493871,gwas,cg21686987,16,75252973,75252973
ancestry,34493871,gwas,cg03880033,16,55866757,55866757
ancestry,34493871,gwas,cg02647878,4,154681197,154681197
ancestry,34493871,gwas,cg00688236,8,1921740,1921740
ancestry,34493871,gwas,cg20515377,6,167276650,167276650
ancestry,34493871,gwas,cg06563713,18,11950917,11950917
ancestry,34493871,gwas,cg06080571,11,2349807,2349807
ancestry,34493871,gwas,cg14047370,7,43342206,43342206
ancestry,34493871,gwas,cg18745035,2,167207324,167207324
ancestry,34493871,gwas,cg10921709,22,38092643,38092643
ancestry,34493871,gwas,cg05082376,22,42548792,42548792
ancestry,34493871,gwas,cg13652336,8,68864012,68864012
ancestry,34493871,gwas,cg24636477,10,48439229,48439229
ancestry,34493871,gwas,cg07709065,9,134637391,134637391
ancestry,34493871,gwas,cg18765799,3,141376338,141376338
ancestry,34493871,gwas,cg01868016,14,93799226,93799226
ancestry,34493871,gwas,cg08973717,6,31697680,31697680
ancestry,34493871,gwas,cg15426006,13,99869897,99869897
ancestry,34493871,gwas,cg15540371,14,105553520,105553520
ancestry,34493871,gwas,cg18670767,22,45706726,45706726
ancestry,34493871,gwas,cg13404038,9,126123344,126123344
ancestry,34493871,gwas,cg26620900,13,44715436,44715436
ancestry,34493871,gwas,cg23586629,12,80411940,80411940
ancestry,34493871,gwas,cg16038331,15,68503187,68503187
ancestry,34493871,gwas,cg19563525,12,69909397,69909397
ancestry,34493871,gwas,cg09116618,6,81233028,81233028
ancestry,34493871,gwas,cg13568106,17,26835115,26835115
ancestry,34493871,gwas,cg11274119,4,170948608,170948608
ancestry,34493871,gwas,cg03558837,2,239029375,239029375
ancestry,34493871,gwas,cg10312802,10,33604657,33604657
ancestry,34493871,gwas,cg09582351,12,29534625,29534625
ancestry,34493871,gwas,cg11525052,11,2321955,2321955
ancestry,34493871,gwas,cg27550511,19,47139496,47139496
ancestry,34493871,gwas,cg02253499,3,12602046,12602046
ancestry,34493871,gwas,cg20538986,17,19295550,19295550
ancestry,34493871,gwas,cg21936906,7,157565366,157565366
ancestry,34493871,gwas,cg22870344,12,57040045,57040045
ancestry,34493871,gwas,cg19913430,8,67025991,67025991
ancestry,34493871,gwas,cg25449976,9,114393491,114393491
ancestry,34493871,gwas,cg22247664,1,110199126,110199126
ancestry,34493871,gwas,cg02480144,14,101121093,101121093
ancestry,34493871,gwas,cg20376249,8,81904401,81904401
ancestry,34493871,gwas,cg19215386,18,72921446,72921446
ancestry,34493871,gwas,cg24501872,1,7562444,7562444
ancestry,34493871,gwas,cg26603656,10,5671107,5671107
ancestry,34493871,gwas,cg15971010,17,19436900,19436900
ancestry,34493871,gwas,cg00558219,2,157184137,157184137
ancestry,34493871,gwas,cg02947450,10,22766861,22766861
ancestry,34493871,gwas,cg13164537,18,67624071,67624071
ancestry,34493871,gwas,cg25165199,13,49107693,49107693
ancestry,34493871,gwas,cg26131019,3,66550735,66550735
ancestry,34493871,gwas,cg18146074,2,232242955,232242955
ancestry,34493871,gwas,cg26848442,18,67624264,67624264
ancestry,34493871,gwas,cg11837275,14,106015625,106015625
ancestry,34493871,gwas,cg00807197,12,128822865,128822865
ancestry,34493871,gwas,cg15367247,3,185960440,185960440
ancestry,34493871,gwas,cg19539667,17,43339831,43339831
ancestry,34493871,gwas,cg22507354,17,62493832,62493832
ancestry,34493871,gwas,cg00836755,10,22609266,22609266
ancestry,34493871,gwas,cg11434151,22,36691632,36691632
ancestry,34493871,gwas,cg24818238,20,62178498,62178498
ancestry,34493871,gwas,cg09189258,19,49990808,49990808
ancestry,34493871,gwas,cg08762247,17,53800372,53800372
ancestry,34493871,gwas,cg14529412,9,133349223,133349223
ancestry,34493871,gwas,cg04865726,1,1365911,1365911
ancestry,34493871,gwas,cg04387597,17,72443179,72443179
ancestry,34493871,gwas,cg02850715,11,130029212,130029212
ancestry,34493871,gwas,cg01497434,4,7646087,7646087
ancestry,34493871,gwas,cg26910511,19,39799037,39799037
ancestry,34493871,gwas,cg20931965,14,62186141,62186141
ancestry,34493871,gwas,cg24700388,1,206300911,206300911
ancestry,34493871,gwas,cg24576425,2,158114404,158114404
ancestry,34493871,gwas,cg09301086,2,3691534,3691534
ancestry,34493871,gwas,cg00688236,8,1921740,1921740
ancestry,34493871,gwas,cg08901558,17,59472854,59472854
ancestry,34493871,gwas,cg27255667,10,13570454,13570454
ancestry,34493871,gwas,cg25842763,7,4870162,4870162
ancestry,34493871,gwas,cg03911034,3,188662679,188662679
