CpG,Chr,Position,Nearest gene,Gene group,Mean,SD,EST (week,P (week),EST (decade),P (decade),EST (life),P (life),FDR p (week),FDR p (decade),FDR p (life),Novel,Any at 10-7,Any at FDR=0.05
cg00986580,14,22951241,,,0.52,0.066,-0.0020,2.2E-15,-0.0012,2.0E-07,-0.0017,3.4E-10,1.4E-11,2.3E-04,1.8E-06,no,yes,yes
cg04916802,13,36052985,MIR548F5,Body,0.18,0.046,-0.0024,2.4E-15,-0.0016,1.1E-08,-0.0016,2.7E-07,1.5E-11,2.6E-05,2.6E-04,no,yes,yes
cg07814318,15,31624584,KLF13,Body,0.44,0.064,-0.0020,2.6E-15,-0.0014,3.4E-09,-0.0016,3.5E-10,1.7E-11,1.0E-05,1.8E-06,,yes,yes
cg00166216,3,194407860,FAM43A,1stExon,0.18,0.063,-0.0034,2.9E-15,-0.0024,1.9E-09,-0.0034,1.4E-14,1.8E-11,6.4E-06,4.5E-10,,yes,yes
cg02654940,6,34206400,HMGA1,5'UTR,0.47,0.052,-0.0013,4.8E-15,-0.0009,6.7E-09,-0.0009,3.4E-08,3.0E-11,1.8E-05,5.9E-05,no,yes,yes
cg10143507,2,118943004,,,0.38,0.060,-0.0018,5.1E-15,-0.0013,2.9E-09,-0.0015,3.2E-10,3.1E-11,8.8E-06,1.7E-06,,yes,yes
cg26959945,7,20233217,MACC1,5'UTR,0.74,0.067,-0.0023,5.5E-15,-0.0017,1.1E-09,-0.0019,9.5E-10,3.3E-11,4.6E-06,3.9E-06,,yes,yes
cg13092108,1,26857284,RPS6KA1,Body,0.41,0.056,-0.0012,5.5E-15,-0.0008,1.6E-08,-0.0008,1.8E-06,3.3E-11,3.3E-05,1.0E-03,,yes,yes
cg05512483,11,62621791,SNORD30,TSS1500,0.19,0.042,-0.0020,5.7E-15,-0.0015,8.6E-10,-0.0015,5.5E-08,3.4E-11,3.8E-06,8.1E-05,no,yes,yes
cg08297686,14,68943486,RAD51L1,Body,0.33,0.047,-0.0015,7.3E-15,-0.0012,9.4E-12,-0.0014,1.3E-11,4.2E-11,8.7E-08,1.2E-07,no,yes,yes
cg22121647,7,134845376,TMEM140,5'UTR,0.65,0.060,-0.0016,8.4E-15,-0.0012,3.4E-10,-0.0012,1.2E-08,4.8E-11,2.0E-06,2.8E-05,,yes,yes
cg19695041,8,38615330,TACC1,5'UTR,0.53,0.058,-0.0012,8.8E-15,-0.0007,5.0E-07,-0.0007,5.4E-06,4.9E-11,4.3E-04,2.2E-03,,yes,yes
cg00944421,16,68269483,ESRP2,Body,0.89,0.063,-0.0052,8.8E-15,-0.0043,5.3E-12,-0.0045,1.4E-10,4.9E-11,6.0E-08,8.2E-07,,yes,yes
cg19620383,15,60860767,RORA,Body,0.56,0.091,-0.0014,9.4E-15,-0.0009,3.4E-08,-0.0009,3.2E-06,5.2E-11,6.0E-05,1.5E-03,,yes,yes
cg00139681,7,106125168,,,0.46,0.085,-0.0016,1.0E-14,-0.0012,3.6E-10,-0.0013,4.3E-09,5.6E-11,2.0E-06,1.3E-05,,yes,yes
cg00328227,1,109204325,C1orf59,TSS200,0.44,0.075,-0.0020,1.1E-14,-0.0013,1.5E-08,-0.0016,4.4E-09,6.0E-11,3.3E-05,1.3E-05,,yes,yes
cg16702313,14,74251926,C14orf43,5'UTR,0.66,0.039,-0.0011,1.2E-14,-0.0008,1.8E-09,-0.0009,1.5E-09,6.3E-11,6.3E-06,5.7E-06,no,yes,yes
cg01091099,2,54815680,SPTBN1,Body,0.53,0.055,-0.0016,1.2E-14,-0.0008,6.6E-06,-0.0010,1.1E-06,6.4E-11,2.6E-03,7.0E-04,,yes,yes
cg20385395,5,138613030,SNHG4,Body,0.49,0.056,-0.0014,1.2E-14,-0.0010,1.6E-09,-0.0010,3.5E-08,6.4E-11,5.9E-06,6.0E-05,no,yes,yes
cg23436584,12,98833359,,,0.50,0.062,-0.0014,1.5E-14,-0.0011,2.1E-11,-0.0013,1.5E-12,7.9E-11,1.7E-07,2.3E-08,,yes,yes
cg09981830,7,55376098,,,0.85,0.040,-0.0022,1.6E-14,-0.0017,2.4E-10,-0.0015,3.0E-07,8.0E-11,1.5E-06,2.7E-04,,yes,yes
cg05242244,12,53553086,CSAD,Body,0.44,0.040,-0.0011,1.8E-14,-0.0008,8.8E-10,-0.0009,9.3E-11,9.0E-11,3.9E-06,6.3E-07,,yes,yes
cg11127915,19,13122381,NFIX,Body,0.30,0.078,-0.0029,1.8E-14,-0.0025,3.7E-12,-0.0027,4.7E-12,9.1E-11,4.7E-08,5.2E-08,,yes,yes
cg19731612,5,176559334,NSD1,TSS1500,0.70,0.091,-0.0032,1.9E-14,-0.0028,9.6E-13,-0.0028,1.4E-10,9.5E-11,1.6E-08,8.3E-07,no,yes,yes
cg26282731,4,148939288,ARHGAP10,Body,0.72,0.079,-0.0019,2.0E-14,-0.0012,1.1E-07,-0.0011,2.7E-05,9.7E-11,1.4E-04,6.4E-03,,yes,yes
cg18487309,5,179333932,TBC1D9B,Body,0.68,0.049,-0.0014,2.0E-14,-0.0012,5.7E-12,-0.0012,5.2E-10,9.9E-11,6.1E-08,2.3E-06,,yes,yes
cg04577162,7,73667397,RFC2,Body,0.67,0.067,-0.0018,2.2E-14,-0.0013,4.0E-10,-0.0014,1.8E-09,1.0E-10,2.2E-06,6.5E-06,,yes,yes
cg20674424,3,186503527,MIR1248,TSS1500,0.15,0.042,-0.0023,2.3E-14,-0.0014,4.3E-07,-0.0015,1.6E-06,1.1E-10,3.9E-04,9.1E-04,no,yes,yes
cg20379593,11,65198023,,,0.28,0.042,-0.0015,2.4E-14,-0.0011,5.5E-10,-0.0008,5.6E-05,1.1E-10,2.8E-06,1.0E-02,,yes,yes
cg03068497,7,30635838,GARS,Body,0.49,0.098,-0.0030,2.5E-14,-0.0021,1.1E-08,-0.0024,1.6E-09,1.2E-10,2.5E-05,5.7E-06,no,yes,yes
cg10944833,6,17702460,NUP153,Body,0.15,0.038,-0.0021,2.5E-14,-0.0013,1.4E-07,-0.0014,3.5E-07,1.2E-10,1.8E-04,3.1E-04,,yes,yes
cg03599037,10,82172508,C10orf58,5'UTR,0.48,0.042,-0.0010,3.0E-14,-0.0006,7.0E-08,-0.0006,7.6E-06,1.4E-10,1.0E-04,2.8E-03,no,yes,yes
cg13895343,17,26708773,SARM1,Body,0.58,0.049,-0.0014,3.2E-14,-0.0014,3.7E-15,-0.0013,1.0E-11,1.4E-10,1.0E-10,9.7E-08,,yes,yes
cg02256576,16,66995192,CES3,1stExon,0.44,0.072,-0.0022,3.2E-14,-0.0013,7.9E-07,-0.0016,5.0E-08,1.5E-10,6.0E-04,7.6E-05,no,yes,yes
cg21993290,2,233703120,GIGYF2,Body,0.35,0.056,-0.0016,3.4E-14,-0.0011,2.7E-09,-0.0015,8.1E-12,1.5E-10,8.4E-06,8.3E-08,,yes,yes
cg20945261,3,13460618,NUP210,Body,0.30,0.045,-0.0011,3.7E-14,-0.0008,1.0E-08,-0.0009,2.7E-08,1.6E-10,2.5E-05,5.0E-05,no,yes,yes
cg22797644,6,34206491,HMGA1,5'UTR,0.32,0.040,-0.0011,4.0E-14,-0.0009,7.9E-10,-0.0009,6.8E-09,1.8E-10,3.6E-06,1.8E-05,no,yes,yes
cg07797660,1,3239139,PRDM16,Body,0.56,0.050,-0.0010,4.3E-14,-0.0008,5.9E-10,-0.0007,2.4E-06,1.9E-10,2.9E-06,1.3E-03,no,yes,yes
cg03935116,12,31476565,FAM60A,5'UTR,0.15,0.031,-0.0018,5.8E-14,-0.0012,3.4E-08,-0.0014,9.1E-09,2.5E-10,6.1E-05,2.3E-05,no,yes,yes
cg17962756,5,172769199,,,0.63,0.102,-0.0020,6.2E-14,-0.0015,1.6E-09,-0.0020,9.0E-13,2.6E-10,5.9E-06,1.5E-08,no,yes,yes
cg02431260,11,124628888,ESAM,Body,0.41,0.070,-0.0020,6.2E-14,-0.0014,8.4E-09,-0.0016,5.1E-09,2.6E-10,2.1E-05,1.4E-05,no,yes,yes
cg03845837,16,67203406,HSF4,Body,0.69,0.062,-0.0019,6.3E-14,-0.0014,2.3E-09,-0.0016,1.4E-09,2.6E-10,7.6E-06,5.3E-06,,yes,yes
cg25869889,11,6436464,APBB1,5'UTR,0.32,0.048,-0.0016,6.5E-14,-0.0009,1.6E-05,-0.0011,6.6E-07,2.7E-10,4.7E-03,4.9E-04,,yes,yes
cg25305703,8,128378218,,,0.75,0.067,-0.0025,7.5E-14,-0.0016,5.8E-08,-0.0018,9.6E-08,3.1E-10,8.8E-05,1.2E-04,,yes,yes
cg19818308,14,75946745,,,0.53,0.073,-0.0018,8.0E-14,-0.0013,2.1E-09,-0.0016,2.3E-11,3.3E-10,6.9E-06,1.9E-07,,yes,yes
cg20146909,1,90289611,LRRC8D,5'UTR,0.77,0.044,-0.0015,8.1E-14,-0.0012,2.5E-10,-0.0011,4.3E-08,3.3E-10,1.5E-06,6.9E-05,,yes,yes
cg08170227,14,69422517,ACTN1,Body,0.52,0.059,-0.0015,8.9E-14,-0.0010,6.1E-08,-0.0012,7.2E-08,3.6E-10,9.1E-05,9.7E-05,,yes,yes
cg11068337,17,43224582,HEXIM1,TSS200,0.15,0.042,-0.0025,9.3E-14,-0.0016,2.3E-07,-0.0023,3.6E-11,3.7E-10,2.5E-04,2.8E-07,,yes,yes
cg14264316,9,134280803,,,0.69,0.073,-0.0019,9.4E-14,-0.0014,3.9E-10,-0.0013,3.6E-07,3.7E-10,2.1E-06,3.2E-04,,yes,yes
cg10317175,10,25247855,,,0.34,0.050,-0.0016,9.7E-14,-0.0009,1.2E-05,-0.0012,9.1E-08,3.8E-10,4.0E-03,1.2E-04,no,yes,yes
cg23634177,2,114357261,MGC13005,Body,0.57,0.040,-0.0007,1.0E-13,-0.0005,7.2E-09,-0.0005,2.4E-07,3.9E-10,1.9E-05,2.4E-04,,yes,yes
cg21161526,9,123691672,,,0.27,0.050,-0.0018,1.1E-13,-0.0013,9.5E-09,-0.0013,1.6E-07,4.2E-10,2.3E-05,1.8E-04,,yes,yes
cg10439456,15,45028270,TRIM69,TSS1500,0.44,0.085,-0.0026,1.1E-13,-0.0019,1.5E-09,-0.0021,3.7E-09,4.2E-10,5.4E-06,1.2E-05,no,yes,yes
cg13980410,5,146870693,,,0.66,0.054,-0.0016,1.2E-13,-0.0012,4.3E-10,-0.0014,4.1E-10,4.7E-10,2.3E-06,2.0E-06,,yes,yes
cg03450635,4,159094213,FAM198B,TSS200,0.39,0.052,-0.0016,1.5E-13,-0.0012,2.0E-09,-0.0009,3.1E-05,5.5E-10,6.7E-06,7.2E-03,no,yes,yes
cg24451117,6,137094444,MAP3K5,Body,0.76,0.048,-0.0014,1.5E-13,-0.0010,2.6E-09,-0.0013,6.1E-12,5.8E-10,8.3E-06,6.4E-08,,yes,yes
cg19493651,2,62428082,B3GNT2,5'UTR,0.35,0.094,-0.0025,1.6E-13,-0.0018,6.8E-09,-0.0019,4.8E-08,5.9E-10,1.8E-05,7.5E-05,,yes,yes
cg26177760,6,31507785,BAT1,Body,0.56,0.063,-0.0017,1.7E-13,-0.0012,9.6E-09,-0.0011,2.2E-06,6.0E-10,2.3E-05,1.2E-03,,yes,yes
cg20841134,2,64247030,VPS54,TSS1500,0.39,0.043,-0.0009,1.7E-13,-0.0006,4.2E-08,-0.0007,3.8E-09,6.0E-10,7.1E-05,1.2E-05,,yes,yes
cg11927233,5,170816542,NPM1,Body,0.29,0.060,-0.0020,1.8E-13,-0.0013,3.3E-07,-0.0014,1.1E-06,6.4E-10,3.3E-04,7.0E-04,,yes,yes
cg22566142,5,96298493,LNPEP,Body,0.46,0.102,-0.0021,1.9E-13,-0.0016,3.4E-09,-0.0013,2.3E-05,6.8E-10,1.0E-05,5.9E-03,,yes,yes
cg01637169,3,13459281,NUP210,Body,0.39,0.055,-0.0011,2.2E-13,-0.0007,1.2E-07,-0.0008,7.2E-07,7.9E-10,1.6E-04,5.2E-04,,yes,yes
cg00574412,17,27892866,ABHD15,Body,0.61,0.049,-0.0013,2.2E-13,-0.0011,1.5E-11,-0.0012,2.2E-10,7.9E-10,1.3E-07,1.2E-06,no,yes,yes
cg01439754,2,112293267,,,0.62,0.050,-0.0014,2.2E-13,-0.0008,2.2E-06,-0.0011,5.8E-08,7.9E-10,1.2E-03,8.3E-05,,yes,yes
cg17598574,1,112171207,RAP1A,5'UTR,0.66,0.048,-0.0013,2.5E-13,-0.0010,5.4E-10,-0.0011,1.3E-09,8.6E-10,2.8E-06,5.2E-06,,yes,yes
cg17478203,17,40438393,STAT5A,TSS1500,0.60,0.044,-0.0012,2.5E-13,-0.0010,4.0E-11,-0.0012,1.9E-11,8.7E-10,2.9E-07,1.6E-07,,yes,yes
cg22976120,11,48040772,PTPRJ,Body,0.62,0.057,-0.0014,2.6E-13,-0.0008,3.6E-06,-0.0011,3.2E-08,8.8E-10,1.7E-03,5.7E-05,,yes,yes
cg09121339,2,7571733,,,0.31,0.046,-0.0014,2.6E-13,-0.0009,3.8E-07,-0.0008,5.2E-05,8.8E-10,3.5E-04,1.0E-02,,yes,yes
cg25342059,3,152121157,MBNL1,Body,0.28,0.062,-0.0023,2.9E-13,-0.0015,1.5E-07,-0.0012,3.6E-04,9.8E-10,1.9E-04,3.4E-02,no,yes,yes
