ID,Zscore,P.value,Direction,geneSymbol,CHR,MAPINFO,
cg01211396,10.48,1.02E-25,++,DHX16;DHX16,chr6,30624478,
cg03392571,10.44,1.61E-25,++,C21orf70,chr21,46367939,
cg18336453,-10.44,1.71E-25,--,PTK7;PTK7;PTK7;PTK7,chr6,43082296,
cg12995604,10.43,1.91E-25,++,ZBTB7A,chr19,4053201,
cg17132148,10.41,2.21E-25,++,TPD52L2;TPD52L2;TPD52L2;TPD52L2;TPD52L2;TPD52L2,chr20,62509296,
cg26093964,-10.40,2.54E-25,--,FAM49A,chr2,16837255,
cg17962756,-10.28,8.68E-25,--,,chr5,172769199,
cg25739715,10.21,1.71E-24,++,OSM,chr22,30663881,
cg08625564,10.17,2.79E-24,++,RILP,chr17,1553453,
cg06801734,-10.16,3.16E-24,--,GRIK5;GRIK5,chr19,42514627,
cg16260349,-10.14,3.61E-24,--,TSPAN14;TSPAN14,chr10,82221597,
cg15043602,10.11,5.14E-24,++,MPRIP;MPRIP,chr17,17079454,
cg07136393,-10.10,5.70E-24,--,MYO16;MYO16,chr13,109776430,
cg18159646,-10.08,7.03E-24,--,SNORD22;SNORD31;SNORD30;SNHG1,chr11,62621178,
cg20879929,10.05,8.80E-24,++,RPTOR;RPTOR,chr17,78847645,
cg21369801,10.01,1.32E-23,++,CSNK1D;CSNK1D,chr17,80202961,
cg26774981,9.99,1.67E-23,++,SRPK2;SRPK2;SRPK2,chr7,104907846,
cg15705813,-9.93,3.14E-23,--,,chr2,70297499,
cg14861638,9.89,4.57E-23,++,PRUNE;PRUNE;PRUNE;PRUNE;PRUNE;PRUNE;PRUNE;PRUNE,chr1,150997146,
cg16246545,-9.87,5.51E-23,--,PHGDH,chr1,120255941,
cg24327127,-9.86,6.26E-23,--,ZFAND3,chr6,37951709,
cg14817906,9.85,6.61E-23,++,CNNM4,chr2,97466833,
cg22994830,9.85,6.75E-23,++,PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B;PRKAR1B,chr7,623846,
cg25330264,9.85,7.09E-23,++,FOXK1,chr7,4806949,
cg17111074,-9.84,7.60E-23,--,,chr1,182097849,
cg12510140,-9.82,9.27E-23,--,CES3;CES3,chr16,66995006,
cg26856289,-9.80,1.12E-22,--,SFRS13A;SFRS13A,chr1,24307516,
cg05713943,-9.79,1.25E-22,--,MBNL2;MBNL2;MBNL2,chr13,97912352,
cg14689167,-9.77,1.54E-22,--,,chr10,4309215,
cg02606535,9.77,1.56E-22,++,TSC2;TSC2;TSC2,chr16,2133032,
cg04695090,9.77,1.59E-22,++,MAFF;MAFF;MAFF;MAFF,chr22,38609508,
cg26251410,-9.76,1.75E-22,--,,chr13,95084077,
cg09261072,-9.75,1.92E-22,--,MORF4L1;MORF4L1;MORF4L1;MORF4L1;MORF4L1,chr15,79170388,
cg11704631,-9.73,2.19E-22,--,RUNX1,chr21,36395663,
cg24707200,9.69,3.20E-22,++,NTRK1;NTRK1;NTRK1,chr1,156833163,
cg10223198,-9.64,5.49E-22,--,,chr11,115636766,
cg15796392,9.60,7.71E-22,++,NOL4L;NOL4L,chr20,31062480,
cg27516100,9.58,9.57E-22,++,DHX16;DHX16,chr6,30624520,
cg19525078,9.55,1.35E-21,++,OVCH1,chr12,29581042,
cg14519664,9.55,1.36E-21,++,MLLT3,chr9,20356459,
cg26450266,9.51,2.00E-21,++,FLII;FLII;FLII,chr17,18149687,
cg04460609,-9.51,2.01E-21,--,LDB2;LDB2,chr4,16532808,
cg07438412,9.47,2.83E-21,++,PACS2;PACS2,chr14,105852272,
cg24446129,-9.45,3.50E-21,--,MBNL1;MBNL1,chr3,152009919,
cg25037610,9.43,4.12E-21,++,UBE2O,chr17,74395690,
cg17742409,-9.43,4.17E-21,--,PLCB4,chr20,9181105,
cg18666552,9.43,4.20E-21,++,SREBF1;SREBF1,chr17,17722503,
cg19295068,9.42,4.73E-21,++,GLTSCR1,chr19,48206119,
cg26952862,-9.39,5.82E-21,--,,chr12,9895800,
cg11730958,-9.36,7.84E-21,--,HSD17B4;HSD17B4;HSD17B4;HSD17B4;HSD17B4,chr5,118806244,
cg03339609,-9.34,9.71E-21,--,LSM14A;LSM14A,chr19,34662636,
cg06307277,9.34,9.93E-21,++,,chr3,184337436,
cg07446048,-9.33,1.06E-20,--,,chr7,82353289,
cg09448652,-9.32,1.21E-20,--,SNORD30;SNORD22;SNORD31;SNHG1,chr11,62621367,
cg13442969,-9.29,1.57E-20,--,DYRK2;DYRK2,chr12,68044208,
cg13934472,9.29,1.60E-20,++,BCR;BCR,chr22,23624485,
cg01182455,9.25,2.33E-20,++,,chr9,131313189,
cg26497146,9.20,3.54E-20,++,CIC;CIC,chr19,42795109,
cg07375256,9.18,4.52E-20,++,ZNF498,chr7,99222196,
cg00343063,9.17,4.95E-20,++,ZNF213;ZNF213,chr16,3188510,
cg16057915,9.16,4.99E-20,++,PEX14,chr1,10690564,
cg15112362,-9.15,5.55E-20,--,ZFP36L1;ZFP36L1;ZFP36L1,chr14,69261509,
cg04253214,-9.15,5.97E-20,--,,chr1,78942099,
cg02256576,-9.14,6.55E-20,--,CES3;CES3,chr16,66995192,
cg18478697,9.11,8.13E-20,++,KCTD2;KCTD2;KCTD2,chr17,73050962,
cg12684183,-9.11,8.61E-20,--,MBNL1;MBNL1,chr3,151994539,
cg15355713,9.11,8.63E-20,++,DHX37,chr12,125431744,
cg16615151,-9.10,8.92E-20,--,PLCXD2;PLCXD2,chr3,111409324,
cg19862899,-9.09,9.50E-20,--,C10orf58;C10orf58,chr10,82173556,
cg27407935,9.09,9.89E-20,++,SREBF1;SREBF1,chr17,17723235,
cg10005565,-9.08,1.06E-19,--,,chr2,235578952,
cg07790781,-9.06,1.34E-19,--,OSBPL6;OSBPL6;OSBPL6;OSBPL6,chr2,179161606,
cg06206136,9.05,1.41E-19,++,CSK;CSK;CSK;CSK,chr15,75092767,
cg01070424,-9.05,1.42E-19,--,,chr16,50298046,
cg03781224,9.04,1.51E-19,++,MGLL;MGLL,chr3,127481599,
cg09280971,9.03,1.68E-19,++,,chr9,73036509,
cg03651951,-9.03,1.79E-19,--,,chr1,182041216,
cg01605814,-9.02,1.83E-19,--,,chr8,111151564,
cg18917643,-9.02,1.92E-19,--,,chr5,39476124,
cg07167185,9.01,2.12E-19,++,LYPLA2,chr1,24120017,
cg09981830,-9.00,2.31E-19,--,,chr7,55376098,
cg23206644,-8.99,2.45E-19,--,,chr4,26143878,
cg05512483,-8.98,2.66E-19,--,SNORD30;SNORD22;SNORD29;SNORD31;SNHG1,chr11,62621791,
cg27169728,8.98,2.77E-19,++,YARS;YARS,chr1,33252692,
cg00105640,8.98,2.84E-19,++,LOC388588,chr1,3691994,
cg14389832,-8.97,3.03E-19,--,,chr18,6732803,
cg12281271,-8.96,3.26E-19,--,ERG;ERG;ERG;ERG;ERG;ERG;ERG;ERG,chr21,39796367,
cg01918773,-8.96,3.29E-19,--,GPR176;GPR176,chr15,40144688,
cg06626124,8.94,3.80E-19,++,SMARCA4;SMARCA4;SMARCA4;SMARCA4;SMARCA4;SMARCA4;SMARCA4,chr19,11145418,
cg21824343,8.93,4.19E-19,++,WDR81;WDR81;WDR81;WDR81,chr17,1633714,
cg17051343,8.92,4.88E-19,++,RAB7A,chr3,128503288,
cg09289684,-8.91,4.95E-19,--,BACH2;BACH2,chr6,90676384,
cg03044573,-8.88,6.97E-19,--,GAS5;SNORD78;SNORD44;SNORD80;SNORD79,chr1,173835265,
cg17808676,-8.86,7.84E-19,--,ITGA4,chr2,182332122,
cg19716526,-8.86,8.24E-19,--,,chr4,155498717,
cg25545391,8.85,8.78E-19,++,,chr4,114936716,
cg07714319,-8.85,9.04E-19,--,FAM49A,chr2,16822974,
cg01235659,-8.83,1.04E-18,--,MYO10,chr5,16738047,
cg04290133,8.82,1.15E-18,++,GUSB,chr7,65439512,
cg19862334,8.82,1.17E-18,++,MIR6779;LASP1;LASP1;LASP1,chr17,37069824,
cg05712475,8.82,1.17E-18,++,PIK3AP1,chr10,98411851,
cg25889918,-8.82,1.18E-18,--,,chr2,179916184,
cg18581607,8.81,1.23E-18,++,PLD2;PLD2;PLD2;PLD2,chr17,4714084,
cg23598378,8.81,1.29E-18,++,C6orf132,chr6,42072986,
cg07357157,8.81,1.30E-18,++,PEX14,chr1,10690588,
cg05820959,8.80,1.33E-18,++,,chr7,151248135,
cg00163198,8.79,1.46E-18,++,SNX19;SNX19,chr11,130767760,
cg02455383,8.78,1.57E-18,++,CRYBB1,chr22,27014116,
cg02583484,-8.78,1.58E-18,--,HNRNPA1;HNRPA1L-2;HNRNPA1,chr12,54677008,
cg05299572,-8.73,2.59E-18,--,C1orf56;BNIPL;BNIPL,chr1,151019926,
cg02806289,-8.72,2.71E-18,--,BDKRB1,chr14,96722008,
cg15117681,8.72,2.76E-18,++,CSNK1D;CSNK1D,chr17,80202426,
cg16274890,8.71,3.12E-18,++,TPRA1;TPRA1;TPRA1,chr3,127299325,
cg17112727,8.71,3.13E-18,++,GABBR2,chr9,101333114,
cg24002003,8.70,3.33E-18,++,,chr15,101668143,
cg24694018,8.70,3.43E-18,++,POLR3GL,chr1,145457621,
cg02735037,-8.68,3.98E-18,--,GARNL3;GARNL3;GARNL3,chr9,130081227,
cg13338174,-8.67,4.16E-18,--,,chr19,28814834,
cg17910470,8.67,4.49E-18,++,USP36,chr17,76795278,
cg25935834,-8.67,4.52E-18,--,,chr17,36571512,
cg08972986,-8.65,5.08E-18,--,,chr12,89340770,
cg14524764,8.64,5.87E-18,++,MICALL1,chr22,38301236,
cg06983052,-8.63,6.08E-18,--,LRRC8D;LRRC8D,chr1,90288099,
cg21169397,-8.63,6.09E-18,--,,chr21,36626538,
cg06799805,8.63,6.35E-18,++,TESC;TESC;TESC,chr12,117486060,
cg19035405,-8.60,7.96E-18,--,,chr3,133382730,
cg17866022,8.60,8.20E-18,++,EPN2-AS1;EPN2;EPN2;EPN2,chr17,19209889,
cg09245003,8.59,8.67E-18,++,RNMTL1,chr17,695428,
cg24097258,-8.59,8.84E-18,--,ATP2C1;ATP2C1;ATP2C1;ATP2C1;ATP2C1;ATP2C1;ATP2C1;ATP2C1;ATP2C1;ATP2C1;ATP2C1,chr3,130624729,
cg07504977,8.58,9.28E-18,++,,chr10,102131012,
cg05303280,-8.58,9.94E-18,--,GLDN,chr15,51632611,
cg23205886,-8.57,1.05E-17,--,SNHG4;MATR3,chr5,138611766,
cg15007470,8.57,1.06E-17,++,TCF3;TCF3,chr19,1622838,
cg08151621,-8.56,1.10E-17,--,LOC100420587,chr19,28995456,
cg14442689,-8.56,1.11E-17,--,LINC00925,chr15,89929102,
cg23569632,-8.55,1.19E-17,--,,chr6,44535269,
cg17043875,-8.55,1.20E-17,--,,chr8,82464471,
cg01839793,8.55,1.22E-17,++,,chr15,90303768,
cg13785152,8.55,1.23E-17,++,SMG6;SMG6;SMG6;SMG6,chr17,1992458,
cg25161899,8.54,1.30E-17,++,DLG2,chr11,85028237,
cg16615058,8.52,1.59E-17,++,PRSS36,chr16,31161005,
cg07380641,-8.51,1.69E-17,--,B4GALT5,chr20,48295033,
cg14199661,-8.51,1.74E-17,--,,chr11,102389157,
cg20217781,-8.49,2.05E-17,--,LINC00189,chr21,30591695,
cg15537269,8.49,2.10E-17,++,,chr8,24507197,
cg02888894,8.48,2.17E-17,++,PRPF6,chr20,62660605,
cg00422488,-8.48,2.23E-17,--,ANP32B,chr9,100747767,
cg01845656,-8.48,2.29E-17,--,CLDN10;CLDN10,chr13,96130731,
cg13922927,8.46,2.77E-17,++,FBLN1;FBLN1;FBLN1;FBLN1,chr22,45933570,
cg25753291,-8.45,2.83E-17,--,PJA2,chr5,108723938,
cg07319712,8.44,3.21E-17,++,HMHA1,chr19,1082786,
cg09655746,-8.44,3.27E-17,--,,chr13,36994947,
cg14410487,8.43,3.39E-17,++,POLR2F;POLR2F,chr22,38396083,
cg03877174,8.43,3.57E-17,++,KIF1C,chr17,4923126,
cg11599718,8.41,4.13E-17,++,VPS37B,chr12,123357128,
cg05254683,-8.41,4.17E-17,--,LINC00379,chr13,91814527,
cg07965255,-8.40,4.34E-17,--,LOC101928227,chr15,38342973,
cg09921385,8.40,4.46E-17,++,TBC1D14;TBC1D14;TBC1D14;TBC1D14,chr4,7000882,
cg17312650,-8.39,4.76E-17,--,MYH9,chr22,36751648,
cg02654279,8.39,4.83E-17,++,CRCP;CRCP;CRCP;CRCP;CRCP,chr7,65615582,
cg12560431,-8.39,5.00E-17,--,SYN2;SYN2,chr3,12219504,
cg13240333,-8.38,5.14E-17,--,ZFHX4-AS1,chr8,77528456,
cg12069540,-8.38,5.38E-17,--,C10orf58;C10orf58,chr10,82173570,
cg09646173,-8.37,5.65E-17,--,PDE6A,chr5,149317669,
cg07856428,8.37,5.76E-17,++,RPTOR;RPTOR,chr17,78854143,
cg19500225,-8.37,5.94E-17,--,,chr8,8402640,
cg21581415,8.34,7.43E-17,++,SCAP,chr3,47460784,
cg16730141,8.33,7.88E-17,++,CARS;CARS;CARS;CARS;CARS,chr11,3059371,
cg09391697,8.33,7.93E-17,++,,chr12,6350833,
cg03517919,8.33,8.42E-17,++,KIF1B,chr1,10398268,
cg05213157,-8.32,8.63E-17,--,,chr20,13802663,
cg20146909,-8.32,8.67E-17,--,LRRC8D;LRRC8D,chr1,90289611,
cg13571479,8.32,8.75E-17,++,MAD1L1;MAD1L1;MAD1L1,chr7,2077345,
cg13610026,-8.32,9.12E-17,--,PSMB7,chr9,127140111,
cg00139681,-8.31,9.38E-17,--,,chr7,106125168,
cg18038415,-8.30,1.04E-16,--,,chr8,126553272,
cg09657542,8.30,1.08E-16,++,,chr7,150628801,
cg01291392,8.29,1.16E-16,++,SGSM2;SGSM2,chr17,2264969,
cg05948872,8.28,1.25E-16,++,PFKFB2,chr1,207252504,
cg05194114,8.28,1.28E-16,++,CCNDBP1;CCNDBP1;CCNDBP1;CCNDBP1,chr15,43477396,
cg13189264,8.27,1.30E-16,++,SLC6A17,chr1,110718862,
cg15835363,-8.27,1.39E-16,--,STARD9,chr15,42894942,
cg06836938,8.26,1.44E-16,++,CHAF1A,chr19,4429454,
cg25436965,-8.26,1.52E-16,--,TMEM72-AS1,chr10,45441888,
cg21961721,8.25,1.56E-16,++,SLC27A3,chr1,153751330,
cg00228496,8.25,1.61E-16,++,USP39;USP39;USP39;USP39;USP39;USP39,chr2,85875472,
cg06170374,-8.25,1.63E-16,--,,chr11,37533403,
cg01970184,-8.24,1.73E-16,--,FIG4,chr6,110017051,
cg19693031,-8.24,1.80E-16,--,TXNIP,chr1,145441552,
cg15707553,8.23,1.81E-16,++,DNAH10,chr12,124413169,
cg19773170,-8.23,1.84E-16,--,,chr14,23008246,
cg16533613,8.22,1.98E-16,++,NUP188,chr9,131769257,
cg25550013,8.22,2.01E-16,++,SLC12A3;SLC12A3;SLC12A3,chr16,56915638,
cg16362595,-8.22,2.12E-16,--,JARID2,chr6,15305678,
cg16290996,-8.21,2.14E-16,--,GAS5;SNORD78;SNORD76;SNORD77;SNORD44;SNORD79,chr1,173835989,
cg23482898,8.21,2.15E-16,++,CAND2;CAND2,chr3,12858887,
cg14535553,-8.21,2.17E-16,--,CES3;CES3,chr16,66995103,
cg24695071,8.20,2.32E-16,++,EIF3B;EIF3B,chr7,2419958,
cg25221975,8.20,2.34E-16,++,FBLN2;FBLN2;FBLN2,chr3,13663444,
cg06070496,-8.20,2.41E-16,--,DLGAP1;DLGAP1;DLGAP1;DLGAP1;DLGAP1;DLGAP1;DLGAP1;DLGAP1;DLGAP1,chr18,3706638,
cg21370352,8.20,2.49E-16,++,PQLC2;PQLC2;PQLC2;PQLC2;PQLC2,chr1,19651020,
cg03487777,8.20,2.51E-16,++,SH2B3;SH2B3,chr12,111872641,
cg19561508,-8.19,2.53E-16,--,B4GALT1,chr9,33140866,
cg15561453,8.19,2.55E-16,++,SCAP,chr3,47459664,
cg02871542,8.18,2.77E-16,++,SSU72,chr1,1489408,
cg16834011,-8.18,2.77E-16,--,COMT,chr22,19931790,
cg07663893,-8.18,2.97E-16,--,TNIP3;TNIP3,chr4,122121190,
cg14728380,8.17,2.98E-16,++,SECTM1,chr17,80280330,
cg19622345,8.17,3.03E-16,++,,chr5,161923051,
cg25812095,-8.16,3.24E-16,--,GTDC1;GTDC1,chr2,144998514,
cg03757430,-8.16,3.32E-16,--,SMCO4,chr11,93269784,
cg14279641,8.15,3.51E-16,++,,chr9,93763689,
cg19245776,-8.15,3.51E-16,--,ETV6,chr12,11938826,
cg14222701,8.15,3.55E-16,++,AMBRA1;AMBRA1;AMBRA1;AMBRA1,chr11,46564725,
cg14986464,8.15,3.57E-16,++,BAT5,chr6,31669902,
cg21859580,-8.15,3.75E-16,--,CHST11;CHST11,chr12,104982643,
cg11826008,-8.15,3.80E-16,--,CPNE1;CPNE1;CPNE1;CPNE1;CPNE1;RBM12;CPNE1;CPNE1;RBM12,chr20,34249284,
cg04239136,8.14,3.92E-16,++,SAP30BP;SAP30BP;SAP30BP;SAP30BP;SAP30BP,chr17,73691688,
cg07690127,8.14,3.98E-16,++,MAD1L1;MAD1L1;MAD1L1,chr7,2077293,
cg20349934,8.14,4.09E-16,++,RBM38;RBM38;RBM38,chr20,55973685,
cg01029617,-8.13,4.24E-16,--,,chr8,58788096,
cg16289653,8.12,4.76E-16,++,MAP2K2,chr19,4103219,
cg18702971,8.12,4.82E-16,++,THOC5;THOC5;THOC5;THOC5,chr22,29920546,
cg19374981,8.12,4.85E-16,++,CCDC40;CCDC40,chr17,78013696,
cg05993525,-8.11,5.01E-16,--,KCNQ1;KCNQ1,chr11,2769184,
cg23257239,-8.10,5.41E-16,--,,chr1,182598470,
cg05719472,8.10,5.49E-16,++,PSAT1;PSAT1,chr9,80914400,
cg20027894,8.10,5.62E-16,++,SGSM2;SGSM2,chr17,2264966,
cg07621682,8.09,5.79E-16,++,CCDC97,chr19,41827759,
cg15020801,8.08,6.66E-16,++,PNPO,chr17,46022809,
cg16719404,-8.07,6.93E-16,--,CD2,chr1,117296242,
cg03203220,-8.07,7.07E-16,--,,chr4,55181512,
cg06372654,8.07,7.10E-16,++,IMPDH1;IMPDH1;IMPDH1;IMPDH1;IMPDH1;IMPDH1;IMPDH1,chr7,128044655,
cg22113689,8.07,7.17E-16,++,CD52;UBXN11,chr1,26645269,
cg02681400,8.07,7.27E-16,++,BRD4;BRD4,chr19,15375283,
cg20544516,8.07,7.33E-16,++,MIR33B;SREBF1;SREBF1,chr17,17717183,
cg26539688,8.06,7.50E-16,++,NUCB1-AS1;NUCB1,chr19,49421594,
cg19805377,8.05,8.28E-16,++,PRPF8,chr17,1576616,
cg20404288,-8.05,8.39E-16,--,LINC00887,chr3,194023890,
cg16648509,-8.05,8.62E-16,--,,chr4,86936044,
cg27263465,8.04,8.76E-16,++,HDAC4,chr2,240145686,
cg02517348,-8.04,8.77E-16,--,,chr15,68817182,
cg03105919,-8.04,8.86E-16,--,,chr1,234682885,
cg10089656,-8.04,9.01E-16,--,GNAQ,chr9,80575291,
cg23850967,8.03,9.63E-16,++,C3orf67;C3orf67-AS1,chr3,58885757,
cg18034719,8.03,9.68E-16,++,GRK6;GRK6;GRK6,chr5,176860863,
cg13030582,8.03,9.78E-16,++,MFAP4,chr17,19290708,
cg07814318,-8.03,9.81E-16,--,KLF13,chr15,31624584,
cg25381253,-8.03,9.82E-16,--,,chr5,77178418,
cg12275605,-8.02,1.08E-15,--,JARID2;JARID2,chr6,15448269,
cg06943835,8.00,1.21E-15,++,ATG2A,chr11,64662577,
cg05957749,8.00,1.22E-15,++,KIAA0754;KIAA0754;MACF1;MACF1,chr1,39875787,
cg12065228,8.00,1.30E-15,++,PQLC2;PQLC2;PQLC2,chr1,19652788,
cg09097948,-7.99,1.31E-15,--,,chr1,199212861,
cg23606775,7.99,1.33E-15,++,CLSTN1;CLSTN1,chr1,9790616,
cg03605542,-7.99,1.33E-15,--,DEPDC1B;DEPDC1B,chr5,59929339,
cg06469895,-7.98,1.42E-15,--,TERF2,chr16,69418206,
cg04725827,-7.98,1.44E-15,--,MBNL1;MBNL1,chr3,152007672,
cg04837676,7.98,1.47E-15,++,CSNK1D;CSNK1D;CSNK1D,chr17,80205114,
cg05026415,-7.97,1.54E-15,--,FAM198B;FAM198B;FAM198B,chr4,159080474,
cg02392359,-7.97,1.57E-15,--,RAB27A,chr15,55572079,
cg15702662,-7.96,1.77E-15,--,IDO2,chr8,39823966,
cg16705049,-7.95,1.87E-15,--,,chr3,11173263,
cg19212470,-7.95,1.91E-15,--,,chr15,62125540,
cg16875568,-7.95,1.95E-15,--,ITGBL1;ITGBL1;ITGBL1;ITGBL1,chr13,102173110,
cg15765789,-7.94,2.04E-15,--,FYB,chr5,39224442,
cg21017748,-7.94,2.08E-15,--,FNIP2,chr4,159742567,
cg07799005,-7.93,2.13E-15,--,MALAT1,chr11,65265684,
cg00825551,-7.93,2.20E-15,--,APMAP,chr20,24968849,
cg03029723,-7.93,2.23E-15,--,RPS15A;RPS15A,chr16,18799331,
cg04231870,7.93,2.23E-15,++,SNX32;SNX32,chr11,65618874,
cg14140268,-7.92,2.30E-15,--,URI1;URI1;URI1,chr19,30456228,
cg27020362,7.92,2.41E-15,++,MGC29506,chr5,138723394,
cg06198758,7.91,2.56E-15,++,C1orf216,chr1,36181297,
cg17634927,-7.91,2.57E-15,--,ADAM23,chr2,207347170,
cg24155515,-7.91,2.58E-15,--,JARID2;JARID2,chr6,15387512,
cg17188688,7.91,2.61E-15,++,TOP3B;TOP3B;TOP3B,chr22,22333247,
cg00886875,-7.91,2.67E-15,--,,chr3,106354325,
cg03846076,7.90,2.73E-15,++,STC2,chr5,172743837,
cg06898549,-7.90,2.77E-15,--,,chr12,41083590,
cg08115371,-7.90,2.85E-15,--,ODZ4,chr11,79115706,
cg01645878,-7.89,2.99E-15,--,SLCO5A1;SLCO5A1;SLCO5A1,chr8,70603355,
cg17719780,7.89,3.01E-15,++,FANCA;FANCA,chr16,89837067,
cg16892975,-7.88,3.23E-15,--,IFI27;IFI27;IFI27;IFI27;IFI27;IFI27;IFI27;IFI27;IFI27;IFI27,chr14,94576066,
cg12857814,-7.88,3.25E-15,--,PSD3,chr8,18776762,
cg13825056,-7.88,3.26E-15,--,MTMR7,chr8,17186545,
cg15564329,7.88,3.31E-15,++,HPS4;HPS4;HPS4;HPS4,chr22,26859954,
cg05963597,7.88,3.32E-15,++,PTGDS,chr9,139870908,
cg20117260,7.88,3.34E-15,++,ATP5SL;ATP5SL;ATP5SL;ATP5SL;ATP5SL;ATP5SL;ATP5SL,chr19,41937434,
cg21668714,7.88,3.37E-15,++,ITFG3;ITFG3;ITFG3,chr16,309450,
cg11120684,-7.87,3.56E-15,--,BACH2;BACH2,chr6,90897267,
cg14309996,-7.87,3.57E-15,--,NFIA-AS2,chr1,61415630,
cg02913882,-7.87,3.59E-15,--,,chr3,177196501,
cg18553781,-7.87,3.68E-15,--,,chr6,91606033,
cg10128003,7.86,3.73E-15,++,ABCG1;ABCG1;ABCG1;ABCG1;ABCG1;ABCG1,chr21,43642166,
cg01959650,-7.86,3.84E-15,--,LAMB1,chr7,107594481,
cg25318870,-7.85,4.23E-15,--,DCBLD2,chr3,98528571,
cg01824180,-7.84,4.41E-15,--,JDP2;JDP2;JDP2;JDP2,chr14,75897762,
cg04752284,7.84,4.55E-15,++,FAM207A,chr21,46386748,
cg16525400,-7.84,4.58E-15,--,,chr3,125994368,
cg14254597,-7.83,4.81E-15,--,PIK3AP1,chr10,98471304,
cg15664462,-7.83,4.91E-15,--,MBNL1;MBNL1,chr3,151996146,
cg03721291,7.82,5.12E-15,++,RECQL5;RECQL5;RECQL5,chr17,73649149,
cg26402346,-7.82,5.17E-15,--,,chr12,101864876,
cg15971496,7.82,5.18E-15,++,RNMTL1,chr17,695156,
cg12732899,7.82,5.27E-15,++,AKAP2;PALM2-AKAP2;PALM2-AKAP2;AKAP2;AKAP2,chr9,112887765,
cg13772414,-7.82,5.29E-15,--,EPHA4,chr2,222383060,
cg03045648,7.82,5.31E-15,++,SF1;SF1;SF1,chr11,64535598,
cg14756878,-7.81,5.53E-15,--,,chr2,12568736,
cg23372375,-7.81,5.92E-15,--,,chr2,147783304,
cg03163545,7.80,5.98E-15,++,IFT140;TMEM204,chr16,1593415,
cg26823705,-7.80,6.00E-15,--,NBPF20;NBPF10;NBPF10,chr1,145435523,
cg24711224,-7.80,6.09E-15,--,NSD1;NSD1,chr5,176561865,
cg12685166,-7.79,6.91E-15,--,WIPF1;WIPF1,chr2,175455876,
cg26829071,7.78,7.16E-15,++,GPR133,chr12,131590596,
cg11445178,-7.77,7.63E-15,--,,chr1,59441766,
cg06295519,-7.77,7.72E-15,--,MMP13,chr11,102821492,
cg09522017,7.77,7.85E-15,++,CEP250;CEP250,chr20,34067059,
cg09745633,-7.77,7.86E-15,--,,chr8,58431924,
cg13815475,7.76,8.30E-15,++,,chr17,79702512,
cg13545705,-7.76,8.69E-15,--,PLEKHG4;PLEKHG4;PLEKHG4;PLEKHG4,chr16,67312573,
cg18956079,7.75,8.90E-15,++,NADK;NADK;NADK;NADK,chr1,1690982,
cg23823424,-7.75,8.93E-15,--,CHRM3,chr1,239927737,
cg21484914,7.75,8.99E-15,++,ABCA3,chr16,2338842,
cg01565160,7.75,9.05E-15,++,DIDO1,chr20,61512901,
