chr,pos,id,obs.ct,hudson.fst,coords,z.glm,p.glm,beta.godmc,cpg.godmc,pct.godmc,end,start,cpg,ancestry
17,45262392,.,2503,0.651862,17_45262392,25.9376,2.51216e-148,0.763024,cg19539667,0.974326564524195,45262392,45262392,cg19539667,AFR
17,64469006,.,2503,0.653043,17_64469006,24.4693,3.14008e-132,-0.7621843,cg22507354,0.97414937056769,64469006,64469006,cg22507354,AFR
10,22297990,.,2503,0.663752,10_22297990,25.9971,5.34418e-149,-0.7190792,cg00836755,0.968616981481263,22297990,22297990,cg00836755,AFR
22,36299382,.,2503,0.683164,22_36299382,25.0169,3.99876e-138,-0.6786347,cg11434151,0.962167121464488,36299382,36299382,cg11434151,AFR
20,63528151,.,2503,0.715686,20_63528151,26.1312,1.61361e-150,0.6505589,cg24818238,0.956638670021539,63528151,63528151,cg24818238,AFR
19,49474929,.,2503,0.664302,19_49474929,25.4766,3.58686e-143,-0.6289309,cg09189258,0.951818994404609,49474929,49474929,cg09189258,AFR
17,55761161,.,2503,0.640014,17_55761161,25.6514,4.07652e-145,0.6166849,cg08762247,0.948865761796195,55761161,55761161,cg08762247,AFR
9,130468272,.,2503,0.677779,9_130468272,23.3965,4.64237e-121,0.6141204,cg14529412,0.948267239987557,130468272,130468272,cg14529412,AFR
1,1419135,.,2503,0.637097,1_1419135,25.8096,6.91234e-147,0.6100993,cg04865726,0.94720013860505,1419135,1419135,cg04865726,AFR
17,74429020,.,2503,0.66691,17_74429020,26.0065,4.18535e-149,-0.608067,cg04387597,0.946743371961616,74429020,74429020,cg04387597,AFR
11,130117205,.,2503,0.633518,11_130117205,26.1485,1.02596e-150,-0.5951266,cg02850715,0.943431813796715,130117205,130117205,cg02850715,AFR
4,7644529,.,2503,0.654304,4_7644529,25.2021,3.79981e-140,0.5922528,cg01497434,0.942648222744616,7644529,7644529,cg01497434,AFR
19,39349909,.,2503,0.67462,19_39349909,23.2842,6.40901e-120,-0.5773222,cg26910511,0.938273500840687,39349909,39349909,cg26910511,AFR
14,61680493,.,2503,0.649821,14_61680493,24.6297,6.079e-134,0.5233018,cg20931965,0.919317685138152,61680493,61680493,cg20931965,AFR
1,206038933,.,2503,0.736926,1_206038933,24.3046,1.75176e-130,-0.5192176,cg24700388,0.917459117416591,206038933,206038933,cg24700388,AFR
2,157247694,.,2503,0.686203,2_157247694,24.6086,1.02109e-133,0.5141896,cg24576425,0.915159533625507,157247694,157247694,cg24576425,AFR
2,3642846,.,2503,0.650259,2_3642846,25.3392,1.18067e-141,0.5088278,cg09301086,0.912611878295315,3642846,3642846,cg09301086,AFR
8,1988840,.,2503,0.630888,8_1988840,25.918,4.17795e-148,-0.507846,cg00688236,0.912214176304049,1988840,1988840,cg00688236,AFR
17,61382803,.,2503,0.632504,17_61382803,25.2583,9.19014e-141,-0.5035298,cg08901558,0.910272918069452,61382803,61382803,cg08901558,AFR
9,137771634,.,2503,0.663437,9_137771634,25.8908,8.44544e-148,-0.502996,cg27255667,0.909997283026,137771634,137771634,cg27255667,AFR
7,4772628,.,2503,0.643323,7_4772628,25.4261,1.29698e-142,-0.4995153,cg25842763,0.908382849200068,4772628,4772628,cg25842763,AFR
3,188970535,.,2503,0.642438,3_188970535,25.8292,4.16279e-147,0.49618,cg03911034,0.906760540087179,188970535,188970535,cg03911034,AFR
4,13537332,.,2503,0.676449,4_13537332,24.6329,5.61671e-134,-0.4907192,cg06346388,0.904130194243953,13537332,13537332,cg06346388,AFR
7,99306677,.,2503,0.646969,7_99306677,24.9632,1.53479e-137,0.4734049,cg24650262,0.894711351044854,99306677,99306677,cg24650262,AFR
13,48562419,.,2503,0.693134,13_48562419,25.0731,9.78551e-139,-0.4612146,cg18731055,0.887540902271627,48562419,48562419,cg18731055,AFR
16,5501820,.,2503,0.686553,16_5501820,24.897,8.01941e-137,0.4567281,cg00049883,0.884890868211011,5501820,5501820,cg00049883,AFR
17,60767670,.,2503,0.718938,17_60767670,24.0071,2.3447e-127,0.4549423,cg15723222,0.883808016254592,60767670,60767670,cg15723222,AFR
9,93064335,.,2503,0.637303,9_93064335,26.0009,4.83424e-149,-0.4498002,cg14105019,0.880587023889683,93064335,93064335,cg14105019,AFR
7,99376965,.,2503,0.76645,7_99376965,24.4516,4.84451e-132,0.4435714,cg05715492,0.876491874672684,99376965,99376965,cg05715492,AFR
20,31491531,.,2503,0.685139,20_31491531,24.3879,2.30094e-131,-0.4413915,cg17116120,0.874956193716309,31491531,31491531,cg17116120,AFR
19,53864343,.,2503,0.708937,19_53864343,24.4121,1.27279e-131,0.4384771,cg10021364,0.872947995542588,53864343,53864343,cg10021364,AFR
2,189640971,.,2503,0.672779,2_189640971,25.66,3.27246e-145,-0.4307953,cg24396875,0.867242350143133,189640971,189640971,cg24396875,AFR
17,60514672,.,2503,0.734118,17_60514672,25.2785,5.5036e-141,0.4253726,cg09153895,0.862934568178328,60514672,60514672,cg09153895,AFR
4,41886173,.,2503,0.728719,4_41886173,25.2779,5.59281e-141,0.4198495,cg25064551,0.858611035639611,41886173,41886173,cg25064551,AFR
12,34293731,.,2503,0.716619,12_34293731,24.852,2.46193e-136,-0.4191653,cg15368222,0.858067640839663,34293731,34293731,cg15368222,AFR
12,5828188,.,2503,0.679485,12_5828188,25.9676,1.15152e-148,0.4045714,cg21476599,0.845069479719167,5828188,5828188,cg21476599,AFR
1,68067092,.,2503,0.660836,1_68067092,25.5472,5.89177e-144,0.3951679,cg09118625,0.83661535917215,68067092,68067092,cg09118625,AFR
17,55756230,.,2503,0.636122,17_55756230,25.7185,7.2588e-146,0.3791211,cg25683268,0.820581274930205,55756230,55756230,cg25683268,AFR
4,7642975,.,2503,0.666069,4_7642975,25.2229,2.24895e-140,0.3778567,cg05573434,0.819242476147725,7642975,7642975,cg05573434,AFR
10,67668932,.,2503,0.635111,10_67668932,24.551,4.2232e-133,-0.3715809,cg01249544,0.812631172748357,67668932,67668932,cg01249544,AFR
14,22903704,.,2503,0.634058,14_22903704,22.9718,8.92166e-117,-0.3691603,cg19841859,0.810111080922511,22903704,22903704,cg19841859,AFR
15,56548676,.,2503,0.221668,15_56548676,17.5403,7.05559e-69,1.0795955,cg16075649,0.99359739170496,56548676,56548676,cg16075649,AMR
2,102244784,.,2503,0.201232,2_102244784,17.8236,4.63578e-71,0.9539363,cg09003973,0.988856468957588,102244784,102244784,cg09003973,AMR
22,41837046,.,2503,0.263185,22_41837046,18.837,3.75755e-79,-0.8797085,cg03806693,0.98455262463626,41837046,41837046,cg03806693,AMR
1,47592859,.,2503,0.219969,1_47592859,-11.8257,2.87634e-32,0.7464007,cg17739555,0.972448308585244,47592859,47592859,cg17739555,AMR
13,20862619,.,2503,0.216111,13_20862619,17.6038,2.30205e-69,0.6860072,cg27499820,0.963450793238279,20862619,20862619,cg27499820,AMR
11,118446245,.,2503,0.197248,11_118446245,-13.0017,1.19587e-38,0.6119066,cg14242895,0.947660842891963,118446245,118446245,cg14242895,AMR
17,7016938,.,2503,0.212334,17_7016938,17.1004,1.47338e-65,-0.5906942,cg02329670,0.942207206675093,7016938,7016938,cg02329670,AMR
14,74226589,.,2503,0.197952,14_74226589,15.3625,2.92223e-53,0.5757728,cg14162120,0.937757669545084,74226589,74226589,cg14162120,AMR
1,27416337,.,2503,0.19104,1_27416337,-11.3568,6.85983e-30,-0.5684281,cg14783891,0.935481711614867,27416337,27416337,cg14783891,AMR
5,78370603,.,2503,0.219932,5_78370603,16.7588,4.88306e-63,-0.5491026,cg18281939,0.929142105615473,78370603,78370603,cg18281939,AMR
6,736562,.,2503,0.197794,6_736562,16.5218,2.55794e-61,-0.5367196,cg27230118,0.924605940328951,736562,736562,cg27230118,AMR
16,35075512,.,2503,0.224153,16_35075512,16.0179,9.58821e-58,0.5265201,cg03395511,0.92062498277281,35075512,35075512,cg03395511,AMR
7,151440647,.,2503,0.222568,7_151440647,16.4974,3.83076e-61,-0.5178406,cg16044810,0.916777905094917,151440647,151440647,cg16044810,AMR
14,104353326,.,2503,0.228735,14_104353326,14.3286,1.45038e-46,0.501598,cg15823438,0.909300320130415,104353326,104353326,cg15823438,AMR
1,161715191,.,2503,0.192175,1_161715191,-11.5499,7.39451e-31,0.4856808,cg05392764,0.901527411905071,161715191,161715191,cg05392764,AMR
16,21940094,.,2503,0.194626,16_21940094,13.3392,1.36902e-40,0.4775745,cg07571928,0.897282632235912,21940094,21940094,cg07571928,AMR
15,78689081,.,2503,0.207219,15_78689081,16.7964,2.59504e-63,-0.4733882,cg12394014,0.894703475757898,78689081,78689081,cg12394014,AMR
11,721570,.,2503,0.204045,11_721570,15.5082,3.0525e-54,-0.4566187,cg02807984,0.884851491776232,721570,721570,cg02807984,AMR
6,158017860,.,2503,0.206233,6_158017860,16.3561,3.93404e-60,-0.4492437,cg12002139,0.88027595005493,158017860,158017860,cg12002139,AMR
16,47182045,.,2503,0.209075,16_47182045,17.558,5.16677e-69,0.4434569,cg20772904,0.876409184159648,47182045,47182045,cg20772904,AMR
15,56537293,.,2503,0.225288,15_56537293,17.5745,3.86579e-69,-0.4426143,cg06863171,0.875814599994487,56537293,56537293,cg06863171,AMR
11,119167918,.,2503,0.229574,11_119167918,17.5419,6.86449e-69,0.4397748,cg03029752,0.873865466472935,119167918,119167918,cg03029752,AMR
14,46436928,.,2503,0.207078,14_46436928,16.3326,5.78278e-60,-0.4396079,cg07062130,0.873755212455554,46436928,46436928,cg07062130,AMR
5,78330933,.,2503,0.204418,5_78330933,16.1805,6.92542e-59,-0.4378212,cg11446398,0.872491228899153,78330933,78330933,cg11446398,AMR
2,151827217,.,2503,0.200584,2_151827217,-12.7476,3.21541e-37,-0.4324743,cg01189475,0.868620525360393,151827217,151827217,cg01189475,AMR
14,24325108,.,2503,0.207003,14_24325108,16.5919,7.96993e-62,-0.4312045,cg02879798,0.867537673403975,24325108,24325108,cg02879798,AMR
15,74388801,.,2503,0.243567,15_74388801,14.9387,1.8454e-50,0.4222731,cg00310412,0.860489291578562,74388801,74388801,cg00310412,AMR
7,50284441,.,2503,0.206983,7_50284441,13.9299,4.16954e-44,-0.4201294,cg01139861,0.858823668387417,50284441,50284441,cg01139861,AMR
7,32845166,.,2503,0.19359,7_32845166,15.7911,3.58182e-56,-0.4198888,cg16857181,0.858630723857001,32845166,32845166,cg16857181,AMR
11,61864038,.,2503,0.213044,11_61864038,16.6776,1.90706e-62,0.4180097,cg26786045,0.857197421631051,61864038,61864038,cg26786045,AMR
20,45987758,.,2503,0.21116,20_45987758,14.8571,6.2546e-50,-0.4176178,cg17664577,0.856902098370209,45987758,45987758,cg17664577,AMR
14,46323300,.,2503,0.326834,14_46323300,18.9614,3.55547e-80,0.4157152,cg04269193,0.855334916266011,46323300,46323300,cg04269193,AMR
12,65774371,.,2503,0.27194,12_65774371,-14.0791,5.10443e-45,-0.4148146,cg05233774,0.854515886422612,65774371,65774371,cg05233774,AMR
22,40819668,.,2503,0.285767,22_40819668,18.2576,1.80183e-74,-0.412521,cg03806693,0.852468311814112,40819668,40819668,cg03806693,AMR
22,41323465,.,2503,0.22972,22_41323465,16.3064,8.88758e-60,-0.4083244,cg00587342,0.848759051657945,41323465,41323465,cg00587342,AMR
4,82784625,.,2503,0.228006,4_82784625,14.8996,3.31656e-50,0.4069198,cg06623474,0.847487192814588,82784625,82784625,cg06623474,AMR
3,65981108,.,2503,0.215011,3_65981108,14.6627,1.11662e-48,0.4045766,cg06109867,0.845077355006123,65981108,65981108,cg06109867,AMR
1,47594417,.,2503,0.217387,1_47594417,-11.7802,4.93471e-32,0.4044441,cg08640804,0.844927724553964,47594417,47594417,cg08640804,AMR
12,116863646,.,2503,0.200494,12_116863646,13.7808,3.32401e-43,0.3988528,cg27599211,0.839922979693573,116863646,116863646,cg27599211,AMR
22,36295923,.,2503,0.190619,22_36295923,13.8128,2.13264e-43,-0.3907247,cg17519899,0.832327265424734,36295923,36295923,cg17519899,AMR
5,78329124,.,2503,0.249384,5_78329124,17.7409,2.02773e-70,-0.383341,cg06759890,0.824948121547179,78329124,78329124,cg06759890,AMR
10,132146331,.,2503,0.214082,10_132146331,15.2746,1.12998e-52,0.3820064,cg01261798,0.823573883973397,132146331,132146331,cg01261798,AMR
2,174797147,.,2503,0.2547,2_174797147,16.6432,3.38772e-62,0.3801612,cg16907154,0.821620812808367,174797147,174797147,cg16907154,AMR
16,28473820,.,2503,0.204281,16_28473820,15.6971,1.58215e-55,-0.3786928,cg08761264,0.820128445930249,28473820,28473820,cg08761264,AMR
1,54488572,.,2503,0.219316,1_54488572,16.827,1.54743e-63,0.378511,cg00868131,0.819915813182443,54488572,54488572,cg00868131,AMR
2,164619743,.,2503,0.214267,2_164619743,14.203,8.77461e-46,-0.3714665,cg22380033,0.812509105800543,164619743,164619743,cg22380033,AMR
22,49612430,.,2503,0.190998,22_49612430,13.9458,3.33648e-44,0.3650259,cg04194073,0.805614292070767,49612430,49612430,cg04194073,AMR
22,41246208,.,2503,0.241139,22_41246208,16.4765,5.41359e-61,-0.3648439,cg02738086,0.805417409896873,41246208,41246208,cg02738086,AMR
22,41034334,.,2503,0.223671,22_41034334,16.2335,2.92382e-59,-0.3646514,cg13695892,0.805220527722979,41034334,41034334,cg13695892,AMR
22,41018051,.,2503,0.236376,22_41018051,16.6679,2.24458e-62,-0.3645995,cg06634786,0.805185088931678,41018051,41018051,cg06634786,AMR
19,40189374,.,660,0.121908,19_40189374,6.91848,4.56503e-12,-0.6592312,cg07936856,0.958449986021366,40189374,40189374,cg07936856,ASW
20,63528151,.,660,0.173809,20_63528151,-7.3329,2.25228e-13,0.6505589,cg24818238,0.956638670021539,63528151,63528151,cg24818238,ASW
11,130117205,.,660,0.134177,11_130117205,-6.19909,5.6792e-10,-0.5951266,cg02850715,0.943431813796715,130117205,130117205,cg02850715,ASW
2,230717583,.,660,0.143683,2_230717583,-6.04565,1.4881e-09,0.5478944,cg26084700,0.928693214258995,230717583,230717583,cg26084700,ASW
16,4350282,.,660,0.17578,16_4350282,-7.28801,3.14576e-13,-0.5067786,cg08645402,0.911737721443225,4350282,4350282,cg08645402,ASW
2,221659372,.,660,0.125294,2_221659372,6.38766,1.68445e-10,0.5011428,cg26580045,0.909071936808697,221659372,221659372,cg26580045,ASW
5,142700025,.,660,0.128539,5_142700025,-6.5011,7.97374e-11,0.4881662,cg19445684,0.902787457817994,142700025,142700025,cg19445684,ASW
9,93104179,.,660,0.166162,9_93104179,7.08442,1.39628e-12,0.4842521,cg13713821,0.900850137226875,93104179,93104179,cg13713821,ASW
12,49366716,.,660,0.131765,12_49366716,7.06579,1.5971e-12,0.4650486,cg02564061,0.88980504727141,49366716,49366716,cg02564061,ASW
9,93064335,.,660,0.13881,9_93064335,-6.51415,7.31002e-11,-0.4498002,cg14105019,0.880587023889683,93064335,93064335,cg14105019,ASW
7,142325703,.,660,0.134675,7_142325703,7.68235,1.562e-14,0.4345178,cg00813027,0.870112892238511,142325703,142325703,cg00813027,ASW
10,47307413,.,660,0.14526,10_47307413,-5.02171,5.12145e-07,-0.4288771,cg24636477,0.865773609125883,47307413,47307413,cg24636477,ASW
17,60514672,.,660,0.139967,17_60514672,-6.8816,5.91836e-12,0.4253726,cg09153895,0.862934568178328,60514672,60514672,cg09153895,ASW
6,234871,.,660,0.124079,6_234871,6.02818,1.65816e-09,0.4235453,cg10521711,0.861568205891502,234871,234871,cg10521711,ASW
6,125555674,.,660,0.13936,6_125555674,7.00001,2.55953e-12,0.4182239,cg05039488,0.857398241448423,125555674,125555674,cg05039488,ASW
12,65774371,.,660,0.157481,12_65774371,-7.68573,1.52132e-14,-0.4148146,cg05233774,0.854515886422612,65774371,65774371,cg05233774,ASW
2,189018918,.,660,0.139567,2_189018918,-7.58483,3.32929e-14,0.4134959,cg26137350,0.853342468666202,189018918,189018918,cg26137350,ASW
2,231386956,.,660,0.134771,2_231386956,-6.51952,7.05313e-11,-0.4046617,cg09235217,0.845140357301769,231386956,231386956,cg09235217,ASW
12,116863646,.,660,0.126628,12_116863646,6.82153,9.0074e-12,0.3988528,cg27599211,0.839922979693573,116863646,116863646,cg27599211,ASW
2,231341313,.,660,0.121468,2_231341313,7.0818,1.42296e-12,-0.3921058,cg09339159,0.833666064207215,231341313,231341313,cg09339159,ASW
9,128800178,.,660,0.160942,9_128800178,-6.56025,5.37177e-11,-0.390177,cg00228799,0.831831122346521,128800178,128800178,cg00228799,ASW
8,121501931,.,660,0.128,8_121501931,6.69099,2.21663e-11,0.3844424,cg08916646,0.826239668607925,121501931,121501931,cg08916646,ASW
2,239499285,.,660,0.138973,2_239499285,6.44682,1.14221e-10,0.376047,cg23039807,0.817399659000075,239499285,239499285,cg23039807,ASW
13,24392754,.,660,0.133125,13_24392754,5.91302,3.3589e-09,0.3707176,cg20246990,0.811749140609311,24392754,24392754,cg20246990,ASW
22,35246573,.,660,0.140713,22_35246573,6.89932,5.22539e-12,0.3687608,cg14983728,0.809646438992121,35246573,35246573,cg14983728,ASW
22,45297947,.,660,0.126409,22_45297947,5.63473,1.75333e-08,-0.3663453,cg12262698,0.807008217861938,45297947,45297947,cg12262698,ASW
2,235564321,.,660,0.147618,2_235564321,6.86696,6.55857e-12,0.3598838,cg07164047,0.800066152410428,235564321,235564321,cg07164047,ASW
17,28421309,.,660,0.150976,17_28421309,-3.81326,0.000137148,-0.3593777,cg13568106,0.799530632897436,28421309,28421309,cg13568106,ASW
11,8325203,.,660,0.136057,11_8325203,6.91413,4.70735e-12,-0.3563381,cg09608841,0.795963127906473,8325203,8325203,cg09608841,ASW
10,21166444,.,660,0.124642,10_21166444,6.59167,4.34918e-11,-0.352312,cg07815856,0.791190704011278,21166444,21166444,cg07815856,ASW
1,237136534,.,660,0.147618,1_237136534,7.02602,2.12509e-12,0.3508909,cg13373703,0.789560519611433,237136534,237136534,cg13373703,ASW
11,131594022,.,660,0.121797,11_131594022,6.58515,4.54412e-11,-0.3457953,cg02960500,0.783409920498978,131594022,131594022,cg02960500,ASW
3,157676472,.,660,0.125294,3_157676472,-6.49447,8.33259e-11,0.3445973,cg25103417,0.782008119420851,157676472,157676472,cg25103417,ASW
1,180157006,.,660,0.123227,1_180157006,-5.76133,8.34542e-09,0.3334652,cg06894687,0.768809138482984,180157006,180157006,cg06894687,ASW
2,236165133,.,660,0.124592,2_236165133,-6.09047,1.12577e-09,-0.3317511,cg06971577,0.76689938139621,236165133,236165133,cg06971577,ASW
2,219335737,.,660,0.156865,2_219335737,-7.08379,1.40267e-12,-0.329665,cg23490796,0.764524982379045,219335737,219335737,cg23490796,ASW
2,218753985,.,660,0.154687,2_218753985,7.3991,1.37115e-13,0.3270145,cg27629986,0.76150087218803,218753985,218753985,cg27629986,ASW
1,236598955,.,660,0.168803,1_236598955,7.1927,6.35219e-13,0.3190117,cg09334514,0.75260573557149,236598955,236598955,cg09334514,ASW
16,89047175,.,660,0.140162,16_89047175,-5.54632,2.91738e-08,0.3155448,cg00741945,0.748813784902287,89047175,89047175,cg00741945,ASW
